"sitename_ndb","siteid_ndb","site_name_card","site_identifier_card","longitude_card","long_ndb","latitude_card","lat_ndb","drop"
"DjPm-98",16056,"","DjPm-98",-114.116667,-114.11667,49.6,49.6,FALSE
"DjPm-115",16221,"","DjPm-115",-114.05,-114.05,49.6,49.6,FALSE
"Smyth [DjPm-116]",14390,"Smyth","DjPm-116",-114.066667,-114.06667,49.6,49.6,FALSE
"Castle Forks Buffalo Jump [DjPm-126]",14345,"Castle Forks Buffalo Jump","DjPm-126",-114,-114,49.6,49.6,FALSE
"DjPm-198",15870,"","DjPm-198",-114.016667,-114.01667,49.6,49.6,FALSE
"DjPm-222",16469,"","DjPm-222",-114,-114,49.583333,49.58333,FALSE
"DjPm-228",16069,"","DjPm-228",-114,-114,49.583333,49.58333,FALSE
"Dersch Locality [DkPj-35]",14366,"Dersch locality","DkPj-35",-113.65,-113.65,49.7,49.7,FALSE
"Cranford [DlPb-2]",14362,"Cranford","DlPb-2",-112.35,-112.35,49.833333,49.83333,FALSE
"Old Bindloss Ferry [EdOn-15]",16387,"Old Bindloss Ferry","EdOn-15",-110.166667,-110.16667,50.65,50.65,FALSE
"Dunbar Coulee [EeOu-VP]",14385,"Dunbar Coulee","EeOu-?",-111.466667,-111.46667,50.783333,50.78333,FALSE
"Deadlodge [EeOv-VP]",14364,"","EeOv-?",-111.666667,-111.58333,50.666667,50.8,FALSE
"Burn Coulee [EeOv-VP]",14329,"","EeOv-?",-111.666667,-111.5,50.666667,50.76667,FALSE
"EgPs-51",16202,"","EgPs-51",-115.133333,-115.13333,51.066667,51.06667,FALSE
"Panther River [EjPu-1]",16370,"Panther River","EjPu-1",-115.35,-115.16667,51.533333,51.53333,FALSE
"Beaverlodge [GhQu-VP]",14323,"Beaverlodge","GhQu-?",-119.433333,-119.43333,55.216667,55.21667,FALSE
"Portage Pass [HaRm-VP]",22360,"Portage Mountain moraine","HaRm-?",-122.111667,-120,56.01,56,FALSE
"Tuktumoon [LlDv-5]",16076,"Tuktumoon","LlDv-5",-71.3,-71.3,65.945,65.945,FALSE
"Aggregate Mining Pit [AkGt-VP]",16028,"","AkGt-?3",-79.266667,-79.26667,43.683333,43.68333,FALSE
"Scarborough Bluffs [AkGt-VP]",16418,"Scarborough Bluffs","AkGt-?1",-79.25,-79.25,43.716667,43.71667,FALSE
"Verbeke Mastodon [AaHp-VP]",16921,"Verbeke mastodon","AaHp-?",-82.625,-82.625,42.083333,42.08333,FALSE
"Dewaele [AfHd-1]",23438,"Dewaele","AfHd-___1",-80.583333,-80.58333,42.916667,42.91667,FALSE
"Van Besien [AfHd-2]",16087,"Van Besien","AfHd-___2",-80.5,-80.5,42.833333,42.83333,FALSE
"Dougall [BdGu-2]",16735,"Dougall","BdGu-___2",-79.383333,-79.38333,44.616667,44.61667,FALSE
"Orillia Grizzly Bear [BdGu-VP]",16584,"Orillia grizzly bear","BdGu-?",-79.441667,-79.44167,44.577778,44.57778,FALSE
"Elba Cave [BaHb-VP]",16763,"Elba Cave","BaHb-?",-80.166667,-80.16667,44.016667,44.01667,FALSE
"Morson, Lake Agassiz [DgKo-VP]",16594,"Morson","DgKo-?",-94.416667,-91.41667,49.083333,49.08333,FALSE
"Axeti [FaSu-1]",16775,"Axeti","FaSu-1",-127.378333,-127.37778,52.108333,52.10833,FALSE
"Saltery Bay [DkSb-2]",22411,"Saltery Bay","DkSb-2",-124.266667,-124.26667,49.75,49.75,FALSE
"Van Male [EeRb-10]",16089,"","EeRb-77",-120.25,-120.25,50.75,50.75,FALSE
"Van Male [EeRb-10]",16089,"","EeRc-44",-120.25,-120.25,50.75,50.75,FALSE
"New [AlGt-36]",22041,"New","AlGt-36",-79.219218,-79.25,43.858723,43.91667,FALSE
