"collectionunitid","agemodel","ageboundolder","ageboundyounger","dateprepared","chronologies.notes","TEMP_chronid"
4488,"bounds",8974,8244,"2025-01-21",NA,"TEMP97"
4488,"event",8724,8494,"2025-01-21",NA,"TEMP98"
4490,"bounds",35000,0,"2025-01-26",NA,"TEMP99"
4490,"event",35000,0,"2025-01-26",NA,"TEMP100"
4491,"bounds",48497,22772,"2025-01-26",NA,"TEMP101"
4491,"event",41347,26197,"2025-01-26",NA,"TEMP102"
4492,"bounds",21444,3464,"2025-01-21",NA,"TEMP103"
4492,"event",15854,9104,"2025-01-21",NA,"TEMP104"
4493,"bounds",18094,1934,"2025-01-26",NA,"TEMP105"
4493,"event",17374,2764,"2025-01-26",NA,"TEMP106"
4494,"bounds",5404,2694,"2025-01-21",NA,"TEMP107"
4494,"event",4574,3524,"2025-01-21",NA,"TEMP108"
4497,"bounds",12594,9084,"2025-01-21",NA,"TEMP109"
4497,"event",11484,10214,"2025-01-21",NA,"TEMP110"
4498,"bounds",36494,11024,"2025-01-26",NA,"TEMP111"
4498,"event",32904,13124,"2025-01-26",NA,"TEMP112"
4499,"bounds",1084,104,"2025-01-21",NA,"TEMP113"
4499,"event",734,454,"2025-01-21",NA,"TEMP114"
4500,"bounds",1244,334,"2025-01-21",NA,"TEMP115"
4500,"event",934,644,"2025-01-21",NA,"TEMP116"
4501,"bounds",1084,-75,"2025-01-21","younger age limits truncated at publication date (2025 CE)","TEMP117"
4501,"event",654,244,"2025-01-21",NA,"TEMP118"
4503,"bounds",6934,2274,"2025-01-21",NA,"TEMP119"
4503,"event",5344,3854,"2025-01-21",NA,"TEMP120"
4504,"bounds",14800,-75,"2025-01-26",NA,"TEMP121"
4504,"event",14800,0,"2025-01-26",NA,"TEMP122"
4505,"bounds",30300,-75,"2025-01-26","younger age limits truncated at publication date (2025 CE)","TEMP123"
4505,"event",27300,0,"2025-01-26",NA,"TEMP124"
4514,"bounds",2294,484,"2025-01-21",NA,"TEMP125"
4514,"event",1714,1104,"2025-01-21",NA,"TEMP126"
4520,"bounds",814,664,"2025-01-21",NA,"TEMP127"
4520,"event",764,724,"2025-01-21",NA,"TEMP128"
4523,"bounds",954,414,"2025-01-21",NA,"TEMP129"
4523,"event",764,594,"2025-01-21",NA,"TEMP130"
4525,"bounds",1594,454,"2025-01-21",NA,"TEMP131"
4525,"event",1244,794,"2025-01-21",NA,"TEMP132"
4529,"bounds",7084,4254,"2025-01-21",NA,"TEMP133"
4529,"event",6134,5204,"2025-01-21",NA,"TEMP134"
4531,"bounds",634,104,"2025-01-21",NA,"TEMP135"
4531,"event",474,294,"2025-01-21",NA,"TEMP136"
4533,"bounds",5334,784,"2025-01-21",NA,"TEMP137"
4533,"event",3954,2164,"2025-01-21",NA,"TEMP138"
4535,"bounds",844,624,"2025-01-21",NA,"TEMP139"
4535,"event",764,694,"2025-01-21",NA,"TEMP140"
