"collectionunitid","agemodel","ageboundolder","ageboundyounger","dateprepared","chronologies.notes","TEMP_chronid"
4483,"bounds",25000,18900,"2025-06-02",NA,"TEMP1"
4483,"event",23300,20800,"2025-06-02",NA,"TEMP2"
