"site_name","site_identifier","siteid.x","sitename","lab_number","age","errorolder","erroryounger","measured_age","ma_sigma","normalized_age","na_sigma"
"Nunguvik","PgHb-1",16539,"Nunguvik [PgHb-1]","S-880",1880,90,90,1880,90,1960,90
"Nunguvik","PgHb-1",16539,"Nunguvik [PgHb-1]","S-1613",2320,20,20,2320,50,2400,55
"Port Refuge","RbJu-1",22358,"Port Refuge [RbJu-1]","S-1689",2070,50,50,2070,50,2230,55
"Port Refuge","RbJu-1",22358,"Port Refuge [RbJu-1]","CRNL-1259",2605,370,370,2605,370,2685,370
"Port Refuge","RbJu-1",22358,"Port Refuge [RbJu-1]","S-1661",3430,60,60,3430,60,3590,65
"Port Refuge","RbJu-1",22358,"Port Refuge [RbJu-1]","S-1662",3790,60,60,3790,60,3950,65
"Port Refuge","RbJu-1",22358,"Port Refuge [RbJu-1]","CRNL-1230",4360,1160,1160,4360,1160,4440,1160
"Port Refuge","RbJu-1",22358,"Port Refuge [RbJu-1]","S-1660",4450,60,60,4450,60,4610,65
"Skraeling Island","SfFk-4",16444,"Skraeling Island [SfFk-4]","GSC-2922",810,70,70,810,70,780,70
"Skraeling Island","SfFk-4",16444,"Skraeling Island [SfFk-4]","GSC-3174",600,60,60,600,60,550,60
"Skraeling Island","SfFk-4",16444,"Skraeling Island [SfFk-4]","GSC-3156",660,60,60,660,60,630,60
"Skraeling Island","SfFk-4",16444,"Skraeling Island [SfFk-4]","GSC-2924",700,70,70,700,70,640,70
"Skraeling Island","SfFk-4",16444,"Skraeling Island [SfFk-4]","GSC-2938",840,60,60,840,60,760,60
"Skraeling Island","SfFk-4",16444,"Skraeling Island [SfFk-4]","GSC-3003",830,50,50,830,50,790,50
"Skraeling Island","SfFk-4",16444,"Skraeling Island [SfFk-4]","GSC-3197",860,50,50,860,50,810,50
"Skraeling Island","SfFk-4",16444,"Skraeling Island [SfFk-4]","GSC-3098",1000,100,100,1000,100,970,100
"Sverdrup","SfFk-5",22419,"Sverdrup [SfFk-5]","GSC-3561",620,50,50,620,50,590,50
"Eskimobyen","SgFm-4",23546,"Eskimobyen [SgFm-4]","GSC-3396",760,70,70,760,70,730,70
"Ridge","SgFm-6",22396,"Ridge [SgFm-6]","GSC-2827",2690,60,60,2690,60,2710,60
"Bight","SgFm-16",17504,"Bight [SgFm-16]","GSC-3268",3770,360,360,3770,360,3790,360
"Bennett","AiGx-___1",16723,"Bennett [AiGx-1]","M-1527",690,130,130,670,100,670,100
"Liahn I","AcHo-___1",21404,"Liahn I [AcHo-1]","DIC-1007",400,70,70,NA,NA,400,60
"Bruce Boyd","AdHc-4",21273,"Bruce Boyd [AdHc-4]","S-1288",2470,65,65,2470,65,2550,70
"Calvert","AfHg-___1",19545,"Calvert [AfHg-1]","I-12176",900,80,80,NA,NA,900,75
"Knechtel I","BbHj-___2A",16324,"The Knechtel 1 Site [BbHj-2A]","S-1709",3130,50,50,3130,50,3210,55
"Knechtel I","BbHj-___2A",16324,"The Knechtel 1 Site [BbHj-2A]","S-1707",4080,60,60,4080,60,4355,80
"Knechtel I","BbHj-___2A",16324,"The Knechtel 1 Site [BbHj-2A]","S-1708",4210,60,60,4210,60,4485,80
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1719",90,50,50,90,50,335,70
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1710",710,40,40,710,40,790,45
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1717",780,120,120,780,120,860,120
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1712",800,40,40,800,40,880,45
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1714",900,40,40,900,40,980,45
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1718",910,110,110,910,110,990,110
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1711",920,70,70,920,70,1000,75
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1720",790,60,60,790,60,1035,80
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1713",1460,50,50,1460,50,1540,55
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1715",1850,50,50,1850,50,2125,70
"Nodwell","BcHi-___3",22653,"Nodwell Site [BcHi-3]","S-1716",2700,70,70,2700,70,2780,75
"Nunaingok 1","JcDe-1",16537,"Nunaingok 1 [JcDe-1]","BGS-2008",577,90,90,577,90,585,90
"Mad Dog","DgMs-53",21513,"Mad Dog [DgMs-53]","S-2966",1180,80,80,1180,80,1260,80
"Oxbow Dam","DhMn-1",22057,"Oxbow Dam [DhMn-1]","S-3648",3760,80,80,3760,80,3870,80
"Sanderson","DhMs-12",16412,"Sanderson [DhMs-12]","S-2967",310,75,75,310,75,390,80
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2532",4320,85,85,4320,85,4400,85
"Lebret","EeMw-26",23611,"Lebret [EeMv-26]","S-2801",400,255,255,400,255,480,255
"Lebret","EeMw-26",23611,"Lebret [EeMv-26]","S-2792",1205,100,100,1205,100,1285,100
"Lebret","EeMw-26",23611,"Lebret [EeMv-26]","S-2691",1260,115,115,1260,115,1340,115
"Lebret","EeMw-26",23611,"Lebret [EeMv-26]","S-2799",1530,105,105,1530,105,1610,105
"Lebret","EeMw-26",23611,"Lebret [EeMv-26]","S-2797",1635,105,105,1635,105,1715,105
"Lebret","EeMw-26",23611,"Lebret [EeMv-26]","S-2798",2585,290,290,2585,290,2665,290
"Lebret","EeMw-26",23611,"Lebret [EeMv-26]","S-2791",2980,105,105,2980,105,3060,105
"Lebret","EeMw-26",23611,"Lebret [EeMv-26]","S-2793",2990,115,115,2990,115,3070,115
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1759",950,190,190,950,190,1030,190
"Avonlea","EaNg-1",14375,"Avonlea [EaNg-1]","S-45",1500,100,100,1500,100,1580,100
"Avonlea","EaNg-1",14375,"Avonlea [EaNg-1]","S-2623",1565,205,205,1565,205,1645,205
"Garratt","EcNj-7",23522,"Garratt [EcNj-7]","S-409",1990,70,70,1990,75,1990,75
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1757",580,190,190,580,190,660,190
"Lake Midden","EfNg-1",21261,"Lake Midden [EfNg-1]","S-2246",380,100,100,380,100,460,100
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1758",730,190,190,730,190,810,190
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1760",1320,190,190,1320,190,1400,190
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1761",1340,190,190,1340,190,1420,190
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1762",1380,200,200,1380,200,1460,200
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1763",1380,190,190,1380,190,1460,190
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1764",1630,200,200,1630,200,1710,200
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1765",1860,200,200,1860,200,1940,200
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1767",2090,165,165,2090,165,2170,165
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-2059",2355,105,105,2355,105,2435,105
"Amisk","FbNp-17",14367,"Amisk [FbNp-17]","S-2531",480,65,65,480,65,560,70
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-2060",2500,85,85,2500,85,2580,85
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-2058",2505,90,90,2505,90,2585,90
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1768",2680,165,165,2680,165,2760,165
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-1769",3275,160,160,3275,160,3355,160
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-2062",3530,115,115,3530,115,3610,115
"Sjovold","EiNs-4",23638,"Sjovold [EiNs-4]","S-2061",3595,150,150,3595,150,3675,150
"Crown","FhNa-86",22722,"Crown [FhNa-86]","S-2292",3330,110,110,3330,110,3410,110
"Heron Eden","EeOi-11",23654,"Heron Eden [EeOi-11]","S-3208",8160,200,200,8160,200,8240,200
"Heron Eden","EeOi-11",23654,"Heron Eden [EeOi-11]","S-3309",8920,130,130,8920,130,9000,130
"Heron Eden","EeOi-11",23654,"Heron Eden [EeOi-11]","S-3114",8930,120,120,8930,120,9010,120
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2533",915,70,70,915,70,995,75
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2528",1540,70,70,1540,70,1620,75
"Norby","FaNq-56",16529,"Norby [FaNq-56]","S-3206",5560,120,120,5560,120,5640,120
"Norby","FaNq-56",16529,"Norby [FaNq-56]","S-3205",5710,110,110,5740,110,5820,110
"Norby","FaNq-56",16529,"Norby [FaNq-56]","S-3006",5885,265,265,5885,265,5965,265
"Newo Asiniak","FbNp-16",22044,"Newo Asiniak [FbNp-16]","S-2530",2235,70,70,2235,70,2315,75
"Tipperary Creek","FbNp-1",16204,"Tipperary Creek [FbNp-1]","S-2806",380,70,70,380,70,460,75
