"site_name","site_identifier","siteid.x","sitename","lab_number","age","errorolder","erroryounger","measured_age","ma_sigma","normalized_age","na_sigma"
"Brynjulfson Cave 1","23BO-?",3566,"Brynjulfson Cave #2","ISGS-66",2460,230,230,2460,230,2540,230
"Brynjulfson Cave 1","23BO-?",3566,"Brynjulfson Cave #1","ISGS-70",9440,760,760,9440,760,9520,760
"Fisher-Gabert","23SA128",6084,"Fisher-Gabert [23SA128]","N-1049",1820,105,105,1820,100,1880,105
"Fisher-Gabert","23SA128",6084,"Fisher-Gabert [23SA128]","N-1050",1630,100,100,1630,100,1680,105
"Fisher-Gabert","23SA128",6084,"Fisher-Gabert [23SA128]","N-1051",1630,100,100,1630,100,1680,105
"Fisher-Gabert","23SA128",6084,"Fisher-Gabert [23SA128]","N-1052",1560,100,100,1560,100,1600,105
"Blacktail Cave","24LC151",4118,"Blacktail Cave [24LC151]","GX-21557",11240,80,80,NA,NA,11240,40
"Blacktail Cave","24LC151",4118,"Blacktail Cave [24LC151]","GX-21558",10270,115,115,NA,NA,27200,370
"Blacktail Cave","24LC151",4118,"Blacktail Cave [24LC151]","GX-21558",27200,370,370,NA,NA,27200,370
"South Cannonball Village","32SI19",4011,"South Cannonball [32SI19]","WIS-1097",570,65,65,NA,NA,570,70
"South Cannonball Village","32SI19",4011,"South Cannonball [32SI19]","WIS-1103",560,55,55,NA,NA,560,60
"South Cannonball Village","32SI19",4011,"South Cannonball [32SI19]","WIS-1104",600,65,65,NA,NA,600,70
"South Cannonball Village","32SI19",4011,"South Cannonball [32SI19]","WIS-1105",625,55,55,NA,NA,630,60
"South Cannonball Village","32SI19",4011,"South Cannonball [32SI19]","WIS-1106",665,70,70,NA,NA,660,70
"Logan Creek","25BT3",3975,"Logan Creek [25BT3]","M-837",6633,300,300,6633,150,6633,150
"","25FT70",3974,"25FT70","M-844",500,200,200,500,100,500,100
"Logan Creek","25BT3",3975,"Logan Creek [25BT3]","M-1081",7250,300,300,7250,150,7250,150
"Spring Creek","25FT31",4327,"Spring Creek [25FT31]","M-1364",5860,160,160,5860,160,5860,160
"","25FT70",3974,"25FT70","SI-47",796,65,65,NA,NA,790,65
"Upper Republican","25FT80",4325,"25FT80","UM-463",3395,295,295,3395,295,3670,300
"Doyle (Red Willow)","25RW28",4322,"Doyle [25RW28]","UM-469",4950,120,120,4950,120,5225,130
"Hulme","25HL28",4088,"Hulme [25HL28]","WIS-2154",870,50,50,NA,NA,870,40
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-3332",540,30,30,540,30,550,30
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-3333",570,30,30,570,30,1000,40
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-3334",980,40,40,980,40,700,30
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-3335",710,30,30,710,30,530,30
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-3336",530,30,30,530,30,740,30
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-3337",730,30,30,730,30,640,40
"Garnsey Spring","LA18400",5031,"Garnsey Spring Campsite [LA 18400]","Beta-6605",930,40,40,930,40,1100,40
"Garnsey Spring","LA18400",5031,"Garnsey Spring Campsite [LA 18400]","Beta-6693",320,50,50,320,50,280,50
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-8320",660,40,40,660,40,630,40
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-14067",610,40,40,610,40,630,40
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-14069",670,40,40,670,40,750,40
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-14070",820,40,40,820,40,850,40
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-14071",850,40,40,850,40,880,40
"Henderson","LA1549",5448,"Henderson [LA-1549]","Beta-14072",650,40,40,650,40,690,40
"Sackett","NYSM-1397",5743,"Sackett [Canandaigua] [Can-1]","M-1076",820,150,150,820,75,820,75
"Maxon-Derby","06705.000006",5744,"Maxon-Derby [Bwv 13-3]","M-1077",860,150,150,860,75,860,75
"Domebo","34CD50",3807,"Domebo","SI-172",11220,500,500,11220,500,11300,500
"Breeden","39ST16",4147,"Breeden [39ST16]","M-608",1240,150,150,1240,75,1240,75
"Helb","39CA208",3927,"Helb [39CA208]","NWU-38",900,90,90,900,90,1050,90
"Helb","39CA208",3927,"Helb [39CA208]","NWU-39",930,100,100,930,100,1020,100
"Helb","39CA208",3927,"Helb [39CA208]","NWU-46",910,80,80,910,80,1040,80
"Walth Bay","39WW203",3953,"Walth Bay [39WW203]","RL-308",8030,1100,1100,8030,1100,8110,1100
"Walth Bay","39WW203",3953,"Walth Bay [39WW203]","RL-309",7010,210,210,7010,210,7090,210
"Jandreau","39LM225",3943,"Jandreau [39LM225]","SI-377",1100,120,120,NA,NA,1100,150
"Mitchell","39DV2",3923,"Mitchell [39DV2]","WIS-512",965,55,55,NA,NA,965,50
"Blaine","39CU1144",16598,"Blaine site [39CU1144]","Beta-74815",2490,60,60,2490,60,2500,40
"Blaine","39CU1144",16598,"Blaine site [39CU1144]","Beta-74816",3160,60,60,3160,60,3140,60
"Blaine","39CU1144",16598,"Blaine site [39CU1144]","Beta-74817",2560,60,60,2560,60,2550,60
"Blaine","39CU1144",16598,"Blaine site [39CU1144]","Beta-74818",3120,60,60,3120,60,3090,60
"Blaine","39CU1144",16598,"Blaine site [39CU1144]","Beta-74819",6950,80,80,6950,80,6940,90
"Chucalissa","40SY1",5445,"Chucalissa [Fuller/Shelby] [40SY1]","M-583",930,200,200,930,100,930,100
"Chucalissa","40SY1",5445,"Chucalissa [Fuller/Shelby] [40SY1]","M-584",510,200,200,510,100,510,100
"Chucalissa","40SY1",5445,"Chucalissa [Fuller/Shelby] [40SY1]","M-787",350,200,200,350,100,350,100
"Chucalissa","40SY1",5445,"Chucalissa [Fuller/Shelby] [40SY1]","M-788",360,150,150,360,75,360,75
"Chucalissa","40SY1",5445,"Chucalissa [Fuller/Shelby] [40SY1]","M-789",510,200,200,510,100,510,100
"Seminole Sink","41VV620",5843,"Seminole Sink [41VV620]","AA-946",490,150,150,NA,NA,470,150
"Rex Rodgers","41BI42",3541,"Rex Rodgers [41BI42]","SMU-274",8985,83,83,8985,83,9118,83
"Lubbock Lake","41LU1",3543,"Lubbock Lake [41LU1]","SMU-275",9960,275,275,9960,80,9960,80
"Lubbock Lake","41LU1",3543,"Lubbock Lake [41LU1]","SMU-314",720,40,40,720,45,720,45
"Lubbock Lake","41LU1",3543,"Lubbock Lake [41LU1]","SMU-715",400,100,100,400,110,400,110
"Aubrey","41DN479",5463,"Aubrey [41DN479]","SMU-2194",10946,87,87,NA,NA,10940,80
"Aubrey","41DN479",5463,"Aubrey [41DN479]","SMU-2338",10724,90,90,NA,NA,10720,90
"Cowboy Cave","42WN420",4599,"Cowboy Cave [45WN420]","SI-2418",8875,80,80,NA,NA,8275,80
"Cowboy Cave","42WN420",4599,"Cowboy Cave [45WN420]","UGa-1548",1555,70,70,1555,70,1775,70
"Trestle","45WT2",4712,"45WT2","WSU-170",7300,180,180,7575,185,7300,185
"Marmes Rockshelter","45FR50",4570,"Marmes Rockshelter [45FR50]","WSU-205",1300,300,300,1300,60,1300,60
"Marmes Rockshelter","45FR50",4570,"Marmes Rockshelter [45FR50]","WSU-206",1110,300,300,1110,50,1110,50
"Marmes Rockshelter","45FR50",4570,"Marmes Rockshelter [45FR50]","WSU-212",1300,300,300,1300,140,1300,140
"Raddatz Rockshelter","47SK5",3579,"Raddatz Rockshelter [SK5]","M-813",5191,300,300,5200,200,5200,200
"Horner","48PA29",3757,"Horner [48PA29]","UCLA-697A",8750,120,120,8750,120,8830,120
"Mummy Cave","48PA201",4314,"Mummy Cave","AA-45706",9248,79,79,NA,NA,9248,78
