"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","source","TEMP_chronid"
28329,255971,"bounds",NA,554,-75,"computed","TEMP2817"
28329,255972,"bounds",NA,1024,-75,"computed","TEMP2817"
28329,255973,"bounds",NA,1024,44,"computed","TEMP2817"
28329,255974,"bounds",NA,1064,114,"computed","TEMP2817"
28332,256084,"event",1964,2264,1674,"computed","TEMP2820"
28332,256084,"bounds",NA,2834,1104,"computed","TEMP2819"
28336,256118,"event",26400,31400,21500,"computed","TEMP2822"
28336,256118,"bounds",NA,39800,13500,"computed","TEMP2821"
28338,256120,"event",1774,2394,1154,"computed","TEMP2824"
28338,256120,"bounds",NA,3424,134,"computed","TEMP2823"
28342,256127,"event",2304,2474,2144,"computed","TEMP2826"
28342,256128,"event",4714,4964,4474,"computed","TEMP2826"
28342,256129,"event",7654,7854,7454,"computed","TEMP2826"
28342,256127,"bounds",NA,2814,1804,"computed","TEMP2825"
28342,256128,"bounds",NA,5504,3934,"computed","TEMP2825"
28342,256129,"bounds",NA,8274,7034,"computed","TEMP2825"
28344,256194,"event",3774,4064,3514,"computed","TEMP2828"
28344,256195,"event",3924,4524,3374,"computed","TEMP2828"
28344,256196,"event",4134,4364,3924,"computed","TEMP2828"
28344,256197,"event",4954,5454,4454,"computed","TEMP2828"
28344,256198,"event",5274,5534,5004,"computed","TEMP2828"
28344,256199,"event",5704,5994,5404,"computed","TEMP2828"
28344,256200,"event",5914,6194,5634,"computed","TEMP2828"
28344,256194,"bounds",NA,4634,2944,"computed","TEMP2827"
28344,256195,"bounds",NA,5714,2184,"computed","TEMP2827"
28344,256196,"bounds",NA,4824,3454,"computed","TEMP2827"
28344,256197,"bounds",NA,6504,3404,"computed","TEMP2827"
28344,256198,"bounds",NA,6054,4494,"computed","TEMP2827"
28344,256199,"bounds",NA,6634,4764,"computed","TEMP2827"
28344,256200,"bounds",NA,6774,5054,"computed","TEMP2827"
28345,256201,"event",1074,1254,894,"computed","TEMP2830"
28345,256202,"event",1994,2574,1484,"computed","TEMP2830"
28345,256203,"event",2324,2644,2014,"computed","TEMP2830"
28345,256204,"event",5524,5834,5204,"computed","TEMP2830"
28345,256201,"bounds",NA,1624,534,"computed","TEMP2829"
28345,256202,"bounds",NA,3664,394,"computed","TEMP2829"
28345,256203,"bounds",NA,3244,1414,"computed","TEMP2829"
28345,256204,"bounds",NA,6494,4544,"computed","TEMP2829"
28349,256209,"event",684,724,644,"computed","TEMP2832"
28349,256210,"event",1144,1194,1094,"computed","TEMP2832"
28349,256211,"event",1304,1384,1224,"computed","TEMP2832"
28349,256209,"bounds",NA,784,574,"computed","TEMP2831"
28349,256210,"bounds",NA,1264,1014,"computed","TEMP2831"
28349,256211,"bounds",NA,1494,1104,"computed","TEMP2831"
28355,256222,"event",3754,3934,3594,"computed","TEMP2834"
28355,256223,"event",3874,3974,3764,"computed","TEMP2834"
28355,256224,"event",4294,4364,4214,"computed","TEMP2834"
28355,256226,"event",4854,5054,4654,"computed","TEMP2834"
28355,256227,"event",5764,5944,5594,"computed","TEMP2834"
28355,256222,"bounds",NA,4294,3234,"computed","TEMP2833"
28355,256223,"bounds",NA,4184,3554,"computed","TEMP2833"
28355,256224,"bounds",NA,4454,4124,"computed","TEMP2833"
28355,256226,"bounds",NA,5474,4234,"computed","TEMP2833"
28355,256227,"bounds",NA,6364,5184,"computed","TEMP2833"
28356,256236,"event",594,854,354,"computed","TEMP2836"
28356,256237,"event",724,984,484,"computed","TEMP2836"
28356,256238,"event",904,1184,654,"computed","TEMP2836"
28356,256239,"event",1234,1364,1104,"computed","TEMP2836"
28356,256240,"event",1284,1424,1154,"computed","TEMP2836"
28356,256242,"event",1674,1834,1504,"computed","TEMP2836"
28356,256243,"event",2224,2314,2144,"computed","TEMP2836"
28356,256249,"event",3924,4244,3624,"computed","TEMP2836"
28356,256250,"event",3834,4084,3604,"computed","TEMP2836"
28356,256241,"event",1754,1874,1634,"computed","TEMP2836"
28356,256244,"event",2814,3004,2614,"computed","TEMP2836"
28356,256245,"event",2424,2644,2204,"computed","TEMP2836"
28356,256246,"event",2634,2754,2514,"computed","TEMP2836"
28356,256248,"event",3534,3874,3224,"computed","TEMP2836"
28356,256236,"bounds",NA,1354,-75,"computed","TEMP2835"
28356,256237,"bounds",NA,1514,-46,"computed","TEMP2835"
28356,256238,"bounds",NA,1704,124,"computed","TEMP2835"
28356,256239,"bounds",NA,1534,934,"computed","TEMP2835"
28356,256240,"bounds",NA,1594,974,"computed","TEMP2835"
28356,256242,"bounds",NA,2074,1274,"computed","TEMP2835"
28356,256243,"bounds",NA,2424,2014,"computed","TEMP2835"
28356,256249,"bounds",NA,4894,2974,"computed","TEMP2835"
28356,256250,"bounds",NA,4574,3104,"computed","TEMP2835"
28356,256241,"bounds",NA,2124,1384,"computed","TEMP2835"
28356,256244,"bounds",NA,3374,2244,"computed","TEMP2835"
28356,256245,"bounds",NA,3054,1794,"computed","TEMP2835"
28356,256246,"bounds",NA,2934,2354,"computed","TEMP2835"
28356,256248,"bounds",NA,4574,2514,"computed","TEMP2835"
28363,256266,"event",554,624,484,"computed","TEMP2838"
28363,256270,"event",664,784,554,"computed","TEMP2838"
28363,256265,"event",694,874,524,"computed","TEMP2838"
28363,256267,"event",334,414,224,"computed","TEMP2838"
28363,256268,"event",514,534,484,"computed","TEMP2838"
28363,256269,"event",484,554,404,"computed","TEMP2838"
28363,256266,"bounds",NA,754,344,"computed","TEMP2837"
28363,256270,"bounds",NA,1054,284,"computed","TEMP2837"
28363,256265,"bounds",NA,1264,124,"computed","TEMP2837"
28363,256267,"bounds",NA,514,94,"computed","TEMP2837"
28363,256268,"bounds",NA,594,424,"computed","TEMP2837"
28363,256269,"bounds",NA,694,274,"computed","TEMP2837"
28371,256427,"event",1164,1234,1094,"computed","TEMP2840"
28371,256427,"bounds",NA,1364,954,"computed","TEMP2839"
28372,256428,"event",9104,9484,8724,"computed","TEMP2842"
28372,256429,"event",10244,10414,10044,"computed","TEMP2842"
28372,256430,"event",10024,10284,9764,"computed","TEMP2842"
28372,256431,"event",12094,12374,11804,"computed","TEMP2842"
28372,256428,"bounds",NA,10294,7924,"computed","TEMP2841"
28372,256429,"bounds",NA,10754,9664,"computed","TEMP2841"
28372,256430,"bounds",NA,10804,9254,"computed","TEMP2841"
28372,256431,"bounds",NA,12914,11244,"computed","TEMP2841"
28375,256434,"event",4604,4804,4414,"computed","TEMP2844"
28375,256435,"event",4174,4554,3814,"computed","TEMP2844"
28375,256434,"bounds",NA,5194,4014,"computed","TEMP2843"
28375,256435,"bounds",NA,5284,3084,"computed","TEMP2843"
28382,256640,"event",17744,18774,16704,"computed","TEMP2846"
28382,256642,"event",27094,27184,26984,"computed","TEMP2846"
28382,256641,"event",19474,19794,19164,"computed","TEMP2846"
28382,256640,"bounds",NA,20364,15024,"computed","TEMP2845"
28382,256642,"bounds",NA,27324,26834,"computed","TEMP2845"
28382,256641,"bounds",NA,20304,18674,"computed","TEMP2845"
28395,258550,"event",334,564,124,"computed","TEMP2848"
28395,258550,"bounds",NA,964,-75,"computed","TEMP2847"
28397,258552,"event",87590,125690,49290,"computed","TEMP2850"
28397,258552,"bounds",NA,184790,-75,"computed","TEMP2849"
28398,258553,"event",184,294,64,"computed","TEMP2852"
28398,258553,"bounds",NA,504,-75,"computed","TEMP2851"
28399,258554,"event",4824,4944,4684,"computed","TEMP2854"
28399,258554,"bounds",NA,5214,4414,"computed","TEMP2853"
28442,261171,"event",394,464,324,"computed","TEMP2856"
28442,261171,"bounds",NA,584,184,"computed","TEMP2855"
28443,261172,"event",3964,5384,2534,"computed","TEMP2858"
28443,261172,"bounds",NA,7844,84,"computed","TEMP2857"
28446,261178,"event",184,304,74,"computed","TEMP2860"
28446,261178,"bounds",NA,514,-75,"computed","TEMP2859"
28449,261182,"event",2224,2354,2094,"computed","TEMP2862"
28449,261183,"event",2554,2644,2464,"computed","TEMP2862"
28449,261184,"event",2584,2714,2444,"computed","TEMP2862"
28449,261182,"bounds",NA,2634,1814,"computed","TEMP2861"
28449,261183,"bounds",NA,2734,2374,"computed","TEMP2861"
28449,261184,"bounds",NA,2954,2204,"computed","TEMP2861"
28453,261191,"event",214,304,124,"computed","TEMP2864"
28453,261191,"bounds",NA,424,4,"computed","TEMP2863"
28458,261202,"event",40734,41204,40224,"computed","TEMP2866"
28458,261201,"event",32114,33284,31124,"computed","TEMP2866"
28458,261204,"event",16084,16734,15454,"computed","TEMP2866"
28458,261202,"bounds",NA,42234,39204,"computed","TEMP2865"
28458,261201,"bounds",NA,35384,29004,"computed","TEMP2865"
28458,261204,"bounds",NA,18114,14064,"computed","TEMP2865"
28465,261212,"event",1004,1194,824,"computed","TEMP2868"
28465,261213,"event",824,914,734,"computed","TEMP2868"
28465,261212,"bounds",NA,1524,504,"computed","TEMP2867"
28465,261213,"bounds",NA,1084,574,"computed","TEMP2867"
28467,261215,"event",38600,44600,33700,"computed","TEMP2870"
28467,261215,"bounds",NA,55300,23700,"computed","TEMP2869"
28508,262973,"event",9814,10194,9324,"computed","TEMP2872"
28508,262973,"bounds",NA,10814,8484,"computed","TEMP2871"
28546,265343,"event",394,494,284,"computed","TEMP2874"
28546,265344,"event",384,474,274,"computed","TEMP2874"
28546,265345,"event",474,524,414,"computed","TEMP2874"
28546,265349,"event",404,474,334,"computed","TEMP2874"
28546,265343,"bounds",NA,734,34,"computed","TEMP2873"
28546,265344,"bounds",NA,704,24,"computed","TEMP2873"
28546,265345,"bounds",NA,634,294,"computed","TEMP2873"
28546,265349,"bounds",NA,604,204,"computed","TEMP2873"
28667,271572,"event",2454,2644,2274,"computed","TEMP2876"
28667,271571,"event",634,824,454,"computed","TEMP2876"
28667,271572,"bounds",NA,2994,1914,"computed","TEMP2875"
28667,271571,"bounds",NA,1244,24,"computed","TEMP2875"
28669,271600,"event",844,874,814,"computed","TEMP2878"
28669,271609,"event",884,954,814,"computed","TEMP2878"
28669,271598,"event",704,814,604,"computed","TEMP2878"
28669,271610,"event",964,1094,844,"computed","TEMP2878"
28669,271599,"event",734,844,644,"computed","TEMP2878"
28669,271600,"bounds",NA,904,784,"computed","TEMP2877"
28669,271609,"bounds",NA,1084,694,"computed","TEMP2877"
28669,271598,"bounds",NA,994,434,"computed","TEMP2877"
28669,271610,"bounds",NA,1364,574,"computed","TEMP2877"
28669,271599,"bounds",NA,1044,444,"computed","TEMP2877"
28712,276582,"event",14634,15174,14134,"computed","TEMP2880"
28712,276582,"bounds",NA,16254,13084,"computed","TEMP2879"
28713,276583,"event",17074,18004,16034,"computed","TEMP2882"
28713,276583,"bounds",NA,19784,14174,"computed","TEMP2881"
28715,276585,"event",18564,18964,18184,"computed","TEMP2884"
28715,276585,"bounds",NA,19814,17324,"computed","TEMP2883"
28716,276586,"event",1864,2024,1704,"computed","TEMP2886"
28716,276586,"bounds",NA,2384,1334,"computed","TEMP2885"
28719,276719,"event",2784,2904,2664,"computed","TEMP2888"
28719,276719,"bounds",NA,3194,2374,"computed","TEMP2887"
29686,284888,"event",4654,5084,4234,"computed","TEMP2890"
29686,284888,"bounds",NA,5804,3514,"computed","TEMP2889"
31851,294869,"event",4064,5034,3164,"computed","TEMP2892"
31851,294870,"event",9044,9624,8514,"computed","TEMP2892"
31851,294869,"bounds",NA,6934,1254,"computed","TEMP2891"
31851,294870,"bounds",NA,10804,7354,"computed","TEMP2891"
33310,528796,"event",6924,9614,4244,"computed","TEMP2894"
33310,528796,"bounds",NA,14084,-75,"computed","TEMP2893"
33311,528797,"event",7454,10104,4814,"computed","TEMP2896"
33311,528797,"bounds",NA,14654,284,"computed","TEMP2895"
33314,528799,"event",8114,10974,5254,"computed","TEMP2898"
33314,528799,"bounds",NA,15924,304,"computed","TEMP2897"
34082,323990,"event",1004,1274,734,"computed","TEMP2900"
34082,323990,"bounds",NA,1694,314,"computed","TEMP2899"
34084,323992,"event",714,784,654,"computed","TEMP2902"
34084,323992,"bounds",NA,944,494,"computed","TEMP2901"
35065,334493,"event",944,984,884,"computed","TEMP2904"
35065,334493,"bounds",NA,1124,754,"computed","TEMP2903"
35068,334607,"event",6194,6344,6074,"computed","TEMP2906"
35068,334607,"bounds",NA,6604,5844,"computed","TEMP2905"
35331,352315,"event",4034,4154,3914,"computed","TEMP2908"
35331,352315,"bounds",NA,4424,3634,"computed","TEMP2907"
35334,352319,"event",1414,1564,1274,"computed","TEMP2910"
35334,352318,"event",1374,1504,1244,"computed","TEMP2910"
35334,352319,"bounds",NA,1884,944,"computed","TEMP2909"
35334,352318,"bounds",NA,1784,954,"computed","TEMP2909"
35335,352322,"event",934,1624,394,"computed","TEMP2912"
35335,352322,"bounds",NA,2784,-75,"computed","TEMP2911"
35336,352324,"event",1194,1314,1074,"computed","TEMP2914"
35336,352323,"event",1264,1404,1124,"computed","TEMP2914"
35336,352325,"event",324,474,164,"computed","TEMP2914"
35336,352324,"bounds",NA,1564,814,"computed","TEMP2913"
35336,352323,"bounds",NA,1714,814,"computed","TEMP2913"
35336,352325,"bounds",NA,754,-75,"computed","TEMP2913"
35348,355661,"event",29284,34354,24214,"computed","TEMP2916"
35348,355661,"bounds",NA,42254,16274,"computed","TEMP2915"
35355,355934,"event",15174,16244,14114,"computed","TEMP2918"
35355,355933,"event",13844,14544,13154,"computed","TEMP2918"
35355,355934,"bounds",NA,17924,12444,"computed","TEMP2917"
35355,355933,"bounds",NA,15664,12064,"computed","TEMP2917"
35373,357350,"event",12934,13044,12834,"computed","TEMP2920"
35373,357351,"event",13524,14674,12364,"computed","TEMP2920"
35373,357349,"event",13134,13234,13024,"computed","TEMP2920"
35373,357350,"bounds",NA,13254,12634,"computed","TEMP2919"
35373,357351,"bounds",NA,16454,10584,"computed","TEMP2919"
35373,357349,"bounds",NA,13474,12784,"computed","TEMP2919"
35375,357353,"event",11574,11784,11394,"computed","TEMP2922"
35375,357353,"bounds",NA,12154,11024,"computed","TEMP2921"
35377,357413,"event",32600,39600,25700,"computed","TEMP2924"
35377,357413,"bounds",NA,51000,14500,"computed","TEMP2923"
35450,359091,"event",6334,6444,6214,"computed","TEMP2926"
35450,359091,"bounds",NA,6734,5924,"computed","TEMP2925"
39736,438674,"event",4214,4544,3904,"computed","TEMP2928"
39736,438672,"event",15164,15294,15034,"computed","TEMP2928"
39736,438674,"bounds",NA,5204,3254,"computed","TEMP2927"
39736,438672,"bounds",NA,15584,14744,"computed","TEMP2927"
40078,453369,"event",11844,17364,6314,"computed","TEMP2930"
40078,453370,"event",5514,6144,4894,"computed","TEMP2930"
40078,453371,"event",11844,17364,6334,"computed","TEMP2930"
40078,453369,"bounds",NA,25764,-75,"computed","TEMP2929"
40078,453370,"bounds",NA,7244,3784,"computed","TEMP2929"
40078,453371,"bounds",NA,25764,-75,"computed","TEMP2929"
40082,453377,"event",3804,4184,3434,"computed","TEMP2932"
40082,453377,"bounds",NA,4794,2824,"computed","TEMP2931"
40097,454755,"event",8154,8294,8024,"computed","TEMP2934"
40097,454756,"event",7644,7774,7534,"computed","TEMP2934"
40097,454757,"event",9224,9714,8804,"computed","TEMP2934"
40097,454755,"bounds",NA,8494,7834,"computed","TEMP2933"
40097,454756,"bounds",NA,7954,7364,"computed","TEMP2933"
40097,454757,"bounds",NA,10614,7954,"computed","TEMP2933"
40104,455163,"event",6334,8254,4424,"computed","TEMP2936"
40104,455163,"bounds",NA,11454,1254,"computed","TEMP2935"
40117,455810,"event",23104,23304,22944,"computed","TEMP2938"
40117,455810,"bounds",NA,23724,22534,"computed","TEMP2937"
40571,457684,"event",1924,2064,1784,"computed","TEMP2940"
40571,457682,"event",414,524,284,"computed","TEMP2940"
40571,457683,"event",434,584,264,"computed","TEMP2940"
40571,457685,"event",8194,8674,7764,"computed","TEMP2940"
40571,457684,"bounds",NA,2374,1474,"computed","TEMP2939"
40571,457682,"bounds",NA,804,-6,"computed","TEMP2939"
40571,457683,"bounds",NA,874,-66,"computed","TEMP2939"
40571,457685,"bounds",NA,9634,6804,"computed","TEMP2939"
41331,468027,"event",11014,11234,10794,"computed","TEMP2942"
41331,468019,"event",12524,12704,12274,"computed","TEMP2942"
41331,468036,"event",12834,12984,12694,"computed","TEMP2942"
41331,468034,"event",1494,2684,604,"computed","TEMP2942"
41331,468022,"event",12174,12434,11904,"computed","TEMP2942"
41331,468020,"event",12424,12634,12144,"computed","TEMP2942"
41331,468033,"event",12964,13104,12814,"computed","TEMP2942"
41331,468015,"event",8774,9124,8464,"computed","TEMP2942"
41331,468024,"event",12284,12524,12014,"computed","TEMP2942"
41331,468037,"event",7664,7814,7514,"computed","TEMP2942"
41331,468031,"event",8334,8444,8204,"computed","TEMP2942"
41331,468026,"event",12614,12774,12404,"computed","TEMP2942"
41331,468028,"event",6544,6664,6434,"computed","TEMP2942"
41331,468023,"event",11414,11594,11264,"computed","TEMP2942"
41331,468017,"event",9744,9904,9614,"computed","TEMP2942"
41331,468029,"event",11494,11744,11264,"computed","TEMP2942"
41331,468027,"bounds",NA,11684,10344,"computed","TEMP2941"
41331,468019,"bounds",NA,13134,11854,"computed","TEMP2941"
41331,468036,"bounds",NA,13284,12384,"computed","TEMP2941"
41331,468034,"bounds",NA,4794,-75,"computed","TEMP2941"
41331,468022,"bounds",NA,12944,11384,"computed","TEMP2941"
41331,468020,"bounds",NA,13064,11724,"computed","TEMP2941"
41331,468033,"bounds",NA,13394,12534,"computed","TEMP2941"
41331,468015,"bounds",NA,9794,7794,"computed","TEMP2941"
41331,468024,"bounds",NA,12994,11534,"computed","TEMP2941"
41331,468037,"bounds",NA,8164,7174,"computed","TEMP2941"
41331,468031,"bounds",NA,8714,7944,"computed","TEMP2941"
41331,468026,"bounds",NA,13204,11974,"computed","TEMP2941"
41331,468028,"bounds",NA,6924,6174,"computed","TEMP2941"
41331,468023,"bounds",NA,11914,10944,"computed","TEMP2941"
41331,468017,"bounds",NA,10194,9344,"computed","TEMP2941"
41331,468029,"bounds",NA,12254,10754,"computed","TEMP2941"
41509,468996,"event",31184,31534,30854,"computed","TEMP2944"
41509,468997,"event",30934,32084,29794,"computed","TEMP2944"
41509,468996,"bounds",NA,32164,30194,"computed","TEMP2943"
41509,468997,"bounds",NA,34054,28054,"computed","TEMP2943"
41641,477611,"event",21400,26400,16300,"computed","TEMP2946"
41641,525813,"event",7400,7600,7100,"computed","TEMP2946"
41641,477609,"event",6200,7200,5200,"computed","TEMP2946"
41641,477613,"event",8800,9300,8200,"computed","TEMP2946"
41641,477615,"event",10900,11200,10700,"computed","TEMP2946"
41641,477614,"event",46000,49500,43100,"computed","TEMP2946"
41641,477611,"bounds",NA,34000,8600,"computed","TEMP2945"
41641,525813,"bounds",NA,8400,6300,"computed","TEMP2945"
41641,477609,"bounds",NA,8900,3400,"computed","TEMP2945"
41641,477613,"bounds",NA,10300,7400,"computed","TEMP2945"
41641,477615,"bounds",NA,11800,10000,"computed","TEMP2945"
41641,477614,"bounds",NA,55500,37400,"computed","TEMP2945"
41922,489370,"event",36800,43600,29900,"computed","TEMP2948"
41922,489370,"bounds",NA,55100,18900,"computed","TEMP2947"
42137,491152,"event",4014,5524,2514,"computed","TEMP2950"
42137,491152,"bounds",NA,8044,-26,"computed","TEMP2949"
42143,491525,"event",944,1124,754,"computed","TEMP2952"
42143,491526,"event",2384,2634,2144,"computed","TEMP2952"
42143,491527,"event",3844,4064,3634,"computed","TEMP2952"
42143,491525,"bounds",NA,1424,464,"computed","TEMP2951"
42143,491526,"bounds",NA,3054,1724,"computed","TEMP2951"
42143,491527,"bounds",NA,4534,3204,"computed","TEMP2951"
42144,491528,"event",7424,9604,5244,"computed","TEMP2954"
42144,491529,"event",28004,28254,27784,"computed","TEMP2954"
42144,491528,"bounds",NA,13274,1574,"computed","TEMP2953"
42144,491529,"bounds",NA,28734,27304,"computed","TEMP2953"
42146,491642,"event",124,194,74,"computed","TEMP2956"
42146,491643,"event",304,404,184,"computed","TEMP2956"
42146,491641,"event",384,454,304,"computed","TEMP2956"
42146,491642,"bounds",NA,264,14,"computed","TEMP2955"
42146,491643,"bounds",NA,604,-26,"computed","TEMP2955"
42146,491641,"bounds",NA,604,154,"computed","TEMP2955"
42149,491693,"event",544,554,534,"computed","TEMP2958"
42149,491694,"event",574,594,554,"computed","TEMP2958"
42149,491693,"bounds",NA,584,504,"computed","TEMP2957"
42149,491694,"bounds",NA,654,514,"computed","TEMP2957"
42151,491705,"event",1154,1284,1024,"computed","TEMP2960"
42151,491704,"event",1224,1264,1184,"computed","TEMP2960"
42151,491705,"bounds",NA,1564,744,"computed","TEMP2959"
42151,491704,"bounds",NA,1334,1114,"computed","TEMP2959"
42177,493806,"event",2064,2184,1934,"computed","TEMP2962"
42177,493806,"bounds",NA,2394,1724,"computed","TEMP2961"
42429,511288,"event",27934,28284,27654,"computed","TEMP2964"
42429,511291,"event",14114,14354,13934,"computed","TEMP2964"
42429,511289,"event",35864,36024,35684,"computed","TEMP2964"
42429,511288,"bounds",NA,28774,27204,"computed","TEMP2963"
42429,511291,"bounds",NA,14854,13444,"computed","TEMP2963"
42429,511289,"bounds",NA,36264,35454,"computed","TEMP2963"
42434,511364,"event",23400,32000,14700,"computed","TEMP2966"
42434,511364,"bounds",NA,46700,200,"computed","TEMP2965"
42591,512903,"event",864,904,814,"computed","TEMP2968"
42591,512902,"event",1254,1504,1014,"computed","TEMP2968"
42591,512901,"event",2174,2254,2104,"computed","TEMP2968"
42591,512903,"bounds",NA,974,754,"computed","TEMP2967"
42591,512902,"bounds",NA,1904,604,"computed","TEMP2967"
42591,512901,"bounds",NA,2334,2024,"computed","TEMP2967"
42599,513487,"event",31764,33464,30064,"computed","TEMP2970"
42599,513487,"bounds",NA,36414,27114,"computed","TEMP2969"
42706,513705,"event",40900,43300,38400,"computed","TEMP2972"
42706,513705,"bounds",NA,47500,34200,"computed","TEMP2971"
42708,513707,"event",40800,45100,36500,"computed","TEMP2974"
42708,513707,"bounds",NA,52700,29300,"computed","TEMP2973"
42710,513709,"event",28700,34200,23100,"computed","TEMP2976"
42710,513709,"bounds",NA,43200,13800,"computed","TEMP2975"
42711,513710,"event",23100,32100,14100,"computed","TEMP2978"
42711,513710,"bounds",NA,47400,-75,"computed","TEMP2977"
42712,513711,"event",20300,28400,12300,"computed","TEMP2980"
42712,513711,"bounds",NA,42200,-75,"computed","TEMP2979"
43127,522688,"event",23300,31200,15300,"computed","TEMP2982"
43127,522688,"bounds",NA,44900,1600,"computed","TEMP2981"
43347,523875,"event",17784,18314,17254,"computed","TEMP2984"
43347,523875,"bounds",NA,19044,16514,"computed","TEMP2983"
43578,525675,"event",11734,11944,11454,"computed","TEMP2986"
43578,529414,"event",184,224,154,"computed","TEMP2986"
43578,529417,"event",2864,3104,2624,"computed","TEMP2986"
43578,529422,"event",7054,7244,6874,"computed","TEMP2986"
43578,529426,"event",7824,7894,7764,"computed","TEMP2986"
43578,529427,"event",7994,8014,7964,"computed","TEMP2986"
43578,525675,"bounds",NA,12374,10954,"computed","TEMP2985"
43578,529414,"bounds",NA,284,114,"computed","TEMP2985"
43578,529417,"bounds",NA,3464,2214,"computed","TEMP2985"
43578,529422,"bounds",NA,7534,6584,"computed","TEMP2985"
43578,529426,"bounds",NA,8014,7644,"computed","TEMP2985"
43578,529427,"bounds",NA,8054,7924,"computed","TEMP2985"
43580,525677,"event",894,934,844,"computed","TEMP2988"
43580,525677,"bounds",NA,1014,744,"computed","TEMP2987"
43581,525679,"event",13074,13134,13004,"computed","TEMP2990"
43581,525679,"bounds",NA,13284,12854,"computed","TEMP2989"
43636,525815,"event",9994,10124,9844,"computed","TEMP2992"
43636,525814,"event",7204,7304,7094,"computed","TEMP2992"
43636,525815,"bounds",NA,10384,9564,"computed","TEMP2991"
43636,525814,"bounds",NA,7524,6874,"computed","TEMP2991"
43637,525816,"event",12174,12434,11894,"computed","TEMP2994"
43637,525817,"event",8964,11134,6804,"computed","TEMP2994"
43637,525818,"event",12534,13064,11994,"computed","TEMP2994"
43637,525816,"bounds",NA,12954,11364,"computed","TEMP2993"
43637,525817,"bounds",NA,14484,3464,"computed","TEMP2993"
43637,525818,"bounds",NA,13924,11094,"computed","TEMP2993"
43640,525925,"event",12884,13344,12434,"computed","TEMP2996"
43640,525925,"bounds",NA,14094,11684,"computed","TEMP2995"
43641,525926,"event",8284,10794,5764,"computed","TEMP2998"
43641,525926,"bounds",NA,14844,1734,"computed","TEMP2997"
43642,525927,"event",12934,13814,12064,"computed","TEMP3000"
43642,525927,"bounds",NA,15304,10544,"computed","TEMP2999"
43646,526002,"event",8164,8504,7854,"computed","TEMP3002"
43646,525980,"event",5584,5844,5324,"computed","TEMP3002"
43646,526006,"event",11014,12284,9734,"computed","TEMP3002"
43646,526008,"event",13244,13284,13204,"computed","TEMP3002"
43646,526013,"event",13694,13814,13564,"computed","TEMP3002"
43646,526003,"event",12274,12484,12054,"computed","TEMP3002"
43646,526007,"event",13294,13384,13204,"computed","TEMP3002"
43646,526012,"event",15624,15944,15304,"computed","TEMP3002"
43646,526031,"event",18704,18974,18404,"computed","TEMP3002"
43646,525990,"event",894,1244,554,"computed","TEMP3002"
43646,526018,"event",14674,15094,14264,"computed","TEMP3002"
43646,525967,"event",2564,2744,2374,"computed","TEMP3002"
43646,525970,"event",3414,3594,3224,"computed","TEMP3002"
43646,526002,"bounds",NA,9204,7154,"computed","TEMP3001"
43646,525980,"bounds",NA,6414,4744,"computed","TEMP3001"
43646,526006,"bounds",NA,14284,7734,"computed","TEMP3001"
43646,526008,"bounds",NA,13344,13154,"computed","TEMP3001"
43646,526013,"bounds",NA,14104,13284,"computed","TEMP3001"
43646,526003,"bounds",NA,12874,11664,"computed","TEMP3001"
43646,526007,"bounds",NA,13574,13024,"computed","TEMP3001"
43646,526012,"bounds",NA,16604,14644,"computed","TEMP3001"
43646,526031,"bounds",NA,19514,17874,"computed","TEMP3001"
43646,525990,"bounds",NA,1864,-66,"computed","TEMP3001"
43646,526018,"bounds",NA,15914,13454,"computed","TEMP3001"
43646,525967,"bounds",NA,3164,1964,"computed","TEMP3001"
43646,525970,"bounds",NA,4004,2824,"computed","TEMP3001"
43647,526051,"event",7004,9614,4394,"computed","TEMP3004"
43647,526051,"bounds",NA,13904,114,"computed","TEMP3003"
43648,526052,"event",9134,9394,8864,"computed","TEMP3006"
43648,526052,"bounds",NA,9894,8354,"computed","TEMP3005"
43649,526053,"event",13600,14100,13200,"computed","TEMP3008"
43649,526053,"bounds",NA,15100,12400,"computed","TEMP3007"
43650,526054,"event",8224,11854,4594,"computed","TEMP3010"
43650,526054,"bounds",NA,17524,-75,"computed","TEMP3009"
43651,526057,"event",6200,6400,5900,"computed","TEMP3012"
43651,526056,"event",17100,17500,16500,"computed","TEMP3012"
43651,526055,"event",700,900,600,"computed","TEMP3012"
43651,526059,"event",28800,33700,25300,"computed","TEMP3012"
43651,526063,"event",15100,15600,14600,"computed","TEMP3012"
43651,526061,"event",29400,34000,26400,"computed","TEMP3012"
43651,526064,"event",25100,25600,24500,"computed","TEMP3012"
43651,526058,"event",33100,34400,31900,"computed","TEMP3012"
43651,526062,"event",25000,25700,24300,"computed","TEMP3012"
43651,526057,"bounds",NA,7100,5200,"computed","TEMP3011"
43651,526056,"bounds",NA,18400,15500,"computed","TEMP3011"
43651,526055,"bounds",NA,1300,200,"computed","TEMP3011"
43651,526059,"bounds",NA,42300,16300,"computed","TEMP3011"
43651,526063,"bounds",NA,16800,13500,"computed","TEMP3011"
43651,526061,"bounds",NA,41800,18100,"computed","TEMP3011"
43651,526064,"bounds",NA,26600,23600,"computed","TEMP3011"
43651,526058,"bounds",NA,37000,29300,"computed","TEMP3011"
43651,526062,"bounds",NA,27100,22800,"computed","TEMP3011"
