"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","source","TEMP_chronid"
15307,149202,"bounds",NA,5004,1094,"computed","TEMP1931"
15308,149203,"event",2164,2344,1984,"computed","TEMP1934"
15308,149203,"bounds",NA,2754,1574,"computed","TEMP1933"
15309,149204,"event",144,244,64,"computed","TEMP1936"
15309,149204,"bounds",NA,404,-75,"computed","TEMP1935"
15310,149205,"event",154,264,54,"computed","TEMP1938"
15310,149205,"bounds",NA,464,-75,"computed","TEMP1937"
15311,149206,"event",2214,2404,2024,"computed","TEMP1940"
15311,149206,"bounds",NA,2824,1604,"computed","TEMP1939"
15312,149207,"event",584,644,524,"computed","TEMP1942"
15312,149207,"bounds",NA,784,384,"computed","TEMP1941"
15313,149208,"event",524,664,364,"computed","TEMP1944"
15313,149208,"bounds",NA,984,54,"computed","TEMP1943"
15314,149209,"event",194,324,74,"computed","TEMP1946"
15314,149209,"bounds",NA,544,-75,"computed","TEMP1945"
15315,149210,"event",4004,4324,3694,"computed","TEMP1948"
15315,149210,"bounds",NA,5014,3004,"computed","TEMP1947"
15317,149212,"event",1694,1904,1504,"computed","TEMP1950"
15317,149212,"bounds",NA,2344,1064,"computed","TEMP1949"
15318,149213,"event",2674,2914,2424,"computed","TEMP1952"
15318,149213,"bounds",NA,3454,1894,"computed","TEMP1951"
15319,149214,"event",1734,1854,1604,"computed","TEMP1954"
15319,149214,"bounds",NA,2124,1334,"computed","TEMP1953"
15320,149215,"event",544,634,454,"computed","TEMP1956"
15320,149215,"bounds",NA,824,254,"computed","TEMP1955"
15321,149216,"event",8814,9024,8604,"computed","TEMP1958"
15321,149216,"bounds",NA,9484,8154,"computed","TEMP1957"
15323,149281,"event",2424,2604,2264,"computed","TEMP1960"
15323,149281,"bounds",NA,2934,1924,"computed","TEMP1959"
15324,149282,"event",4394,4644,4154,"computed","TEMP1962"
15324,149282,"bounds",NA,5154,3654,"computed","TEMP1961"
15325,149283,"event",5494,5674,5314,"computed","TEMP1964"
15325,149283,"bounds",NA,6104,4894,"computed","TEMP1963"
15326,149284,"event",1924,2144,1724,"computed","TEMP1966"
15326,149284,"bounds",NA,2594,1274,"computed","TEMP1965"
15327,149285,"event",5664,5864,5454,"computed","TEMP1968"
15327,149285,"bounds",NA,6304,5014,"computed","TEMP1967"
15328,149286,"event",1504,1674,1364,"computed","TEMP1970"
15328,149286,"bounds",NA,2014,1014,"computed","TEMP1969"
15329,149287,"event",494,634,334,"computed","TEMP1972"
15329,149287,"bounds",NA,974,4,"computed","TEMP1971"
15330,149288,"event",394,514,264,"computed","TEMP1974"
15330,149288,"bounds",NA,794,-26,"computed","TEMP1973"
15331,149289,"event",1944,2134,1764,"computed","TEMP1976"
15331,149289,"bounds",NA,2534,1374,"computed","TEMP1975"
15332,149290,"event",2454,2664,2224,"computed","TEMP1978"
15332,149290,"bounds",NA,3104,1794,"computed","TEMP1977"
15333,149291,"event",534,604,454,"computed","TEMP1980"
