"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","TEMP_chronid"
4483,7088,"Geohron",22600,25400,20400,NA,80243,"TEMP1"
4483,7087,"Geohron",22500,25800,19900,NA,80243,"TEMP1"
4483,7086,"Geohron",21000,25100,14100,NA,80243,"TEMP1"
4483,7088,"Geohron",22600,25400,20400,NA,80243,"TEMP2"
4483,7087,"Geohron",22500,25800,19900,NA,80243,"TEMP2"
4483,7086,"Geohron",21000,25100,14100,NA,80243,"TEMP2"
