"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","TEMP_chronid"
13353,17429,"NZA32584",4034,4084,3934,112,132675,"TEMP1889"
13353,17430,"NZA32585",10794,11064,10674,112,132680,"TEMP1889"
13356,17437,"Beta-59590",514,544,494,112,132688,"TEMP1891"
13356,17439,"Beta-288563",514,534,494,112,132688,"TEMP1891"
13356,17434,"CAMS-114502",514,534,494,112,132688,"TEMP1891"
13356,17435,"CAMS-114503",514,534,494,112,132688,"TEMP1891"
13356,17438,"Beta-85825",514,524,474,112,132688,"TEMP1891"
13356,17436,"Beta-59589",504,524,464,112,132688,"TEMP1891"
13444,17533,"A-1571",12584,12884,12064,112,133360,"TEMP1893"
13445,17534,"A-1572",12724,13104,12064,112,133361,"TEMP1895"
13446,17535,"A-1573",12004,12614,11334,112,133362,"TEMP1897"
13447,17536,"AA-1217",11684,11954,11364,112,133363,"TEMP1899"
13479,17586,"A-1846",18344,20144,16704,112,133943,"TEMP1901"
13480,17587,"A-1844",17434,18104,16734,112,133944,"TEMP1903"
13481,17588,"A-1623",22100,25300,19700,112,133945,"TEMP1905"
13496,17589,"A-1845",19484,21644,17794,112,133984,"TEMP1907"
13497,17590,"A-1581",18994,19444,18484,112,133985,"TEMP1909"
13497,53707,"AA-430",13484,14764,12814,112,133985,"TEMP1909"
14886,17811,"GSC-2422",41734,42064,41344,112,138048,"TEMP1911"
14886,17812,"GSC-2341",10074,10264,9814,112,138057,"TEMP1911"
15293,18733,"Beta-252179",4454,4534,4314,112,148872,"TEMP1913"
15293,18732,"Beta-252180",3924,4064,3844,112,148872,"TEMP1913"
15293,18735,"Beta-252177",3884,3974,3754,112,148872,"TEMP1913"
15293,18736,"Beta-252176",3804,3904,3714,112,148872,"TEMP1913"
15293,18734,"Beta-252178",3764,3844,3654,112,148872,"TEMP1913"
15293,18731,"Beta-252181",3754,3834,3644,112,148872,"TEMP1913"
15293,18737,"Beta-252175",3704,3824,3604,112,148872,"TEMP1913"
15293,18729,"Beta-252183",3674,3814,3584,112,148872,"TEMP1913"
15293,18730,"Beta-252182",3634,3734,3544,112,148872,"TEMP1913"
15295,18738,"Beta-76675",674,824,554,112,148874,"TEMP1915"
15295,18742,"Beta-228016",544,624,514,112,148874,"TEMP1915"
15295,18741,"Beta-228015",374,454,274,112,148874,"TEMP1915"
15295,18739,"Beta-223358",374,454,274,112,148874,"TEMP1915"
15295,18740,"Beta-223359",224,314,34,112,148874,"TEMP1915"
15296,18745,"CAMS-107317",39944,40764,39244,112,148876,"TEMP1917"
15296,18744,"CAMS-107316",35184,35894,34654,112,148876,"TEMP1917"
15299,18757,"UGa-5083",6774,7324,6254,112,149137,"TEMP1919"
15302,18786,"A-1839",2934,3154,2784,112,149197,"TEMP1921"
15303,18787,"A-1833",5124,5324,4894,112,149198,"TEMP1923"
15304,18788,"A-1837",494,624,334,112,149199,"TEMP1925"
15305,18789,"A-1834",1884,2254,1584,112,149200,"TEMP1927"
15306,18790,"A-1840",2044,2284,1844,112,149201,"TEMP1929"
15307,18791,"A-1838",2984,3614,2374,112,149202,"TEMP1931"
15308,18792,"A-2109",2154,2324,1974,112,149203,"TEMP1933"
15309,18793,"A-3110",124,264,24,112,149204,"TEMP1935"
15310,18794,"A-3111",134,274,14,112,149205,"TEMP1937"
15311,18795,"A-3497",2214,2394,2024,112,149206,"TEMP1939"
15312,18796,"A-3178",594,654,534,112,149207,"TEMP1941"
15313,18797,"A-3107",534,654,344,112,149208,"TEMP1943"
15314,18798,"A-3196",184,394,4,112,149209,"TEMP1945"
15315,18799,"A-3177",3994,4344,3664,112,149210,"TEMP1947"
15317,18800,"A-2128",1684,1914,1464,112,149212,"TEMP1949"
15318,18801,"A-3205",2674,2934,2404,112,149213,"TEMP1951"
15319,18802,"A-3201",1724,1854,1594,112,149214,"TEMP1953"
15320,18803,"A-3159",544,634,494,112,149215,"TEMP1955"
15321,18804,"A-3107",8804,9004,8584,112,149216,"TEMP1957"
15323,18827,"A-2138",2424,2684,2204,112,149281,"TEMP1959"
15324,18828,"A-2129",4384,4734,4114,112,149282,"TEMP1961"
15325,18829,"A-2124",5504,5654,5334,112,149283,"TEMP1963"
15326,18830,"A-2125",1904,2134,1714,112,149284,"TEMP1965"
15327,18831,"A-2126",5674,5884,5464,112,149285,"TEMP1967"
15328,18832,"A-2127",1494,1684,1364,112,149286,"TEMP1969"
15329,18833,"A-3008",514,634,334,112,149287,"TEMP1971"
15330,18834,"A-3108",404,504,304,112,149288,"TEMP1973"
15331,18835,"A-2110",1934,2144,1754,112,149289,"TEMP1975"
