"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","TEMP_chronid"
4483,80243,"event",22100,23300,20800,"TEMP2"
4483,80243,"bounds",NA,25000,18900,"TEMP1"
