"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","chronology.agemodel","chroncontrols.notes"
4457,NA,NA,NA,997,200,37,80166,"event","inferred: above rest of unit, below end of Dietrich Phase"
4457,NA,NA,NA,997,200,37,80166,"bounds","inferred: above rest of unit, below end of Dietrich Phase"
4457,NA,NA,NA,25842,18867,23,80171,"event","inferred: above Stratum E, below all others"
4457,NA,NA,NA,19377,19272,23,80171,"bounds","inferred: above Stratum E, below all others"
4463,NA,NA,NA,2377,1762,23,80181,"event","inferred: between IIbcd and IVa"
4463,NA,NA,NA,2362,1792,23,80181,"bounds","inferred: between IIbcd and IVa"
4463,NA,NA,NA,2377,1762,23,80182,"event","inferred: between IIbcd and IVa"
4463,NA,NA,NA,2362,1792,23,80182,"bounds","inferred: between IIbcd and IVa"
4463,NA,NA,NA,2697,1412,80,80186,"event","inferred: full range of dated units in collection"
4463,NA,NA,NA,2702,1412,80,80186,"bounds","inferred: full range of dated units in collection"
4470,NA,NA,NA,8222,1,23,80198,"event","inferred: above rest of collection"
4470,NA,NA,NA,7747,1,23,80198,"bounds","inferred: above rest of collection"
4472,NA,NA,NA,35000,14202,37,80216,"event","inferred: below Level 15, above 35ka"
4472,NA,NA,NA,35000,15467,37,80216,"bounds","inferred: below Level 15, above 35ka"
4472,NA,NA,NA,5417,3642,23,80217,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80217,"bounds","inferred: above Level 10, below surface"
4472,NA,NA,NA,13047,6512,23,80219,"event","inferred: between Levels 10 and 13-15"
4472,NA,NA,NA,11777,7732,23,80219,"bounds","inferred: between Levels 10 and 13-15"
4472,NA,NA,NA,13047,6512,23,80220,"event","inferred: between Levels 10 and 13-15"
4472,NA,NA,NA,11777,7732,23,80220,"bounds","inferred: between Levels 10 and 13-15"
4472,NA,NA,13577,14202,13047,112,80221,"event","inferred: same as Level 13-15"
4472,NA,NA,NA,15467,11777,112,80221,"bounds","inferred: same as Level 13-15"
4472,NA,NA,13577,14202,13047,112,80223,"event","inferred: same as Level 13-15"
4472,NA,NA,NA,15467,11777,112,80223,"bounds","inferred: same as Level 13-15"
4472,NA,NA,13577,14202,13047,112,80224,"event","inferred: same as Level 13-15"
4472,NA,NA,NA,15467,11777,112,80224,"bounds","inferred: same as Level 13-15"
4472,NA,NA,NA,5417,3642,23,80225,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80225,"bounds","inferred: above Level 10, below surface"
4472,NA,NA,NA,5417,3642,23,80226,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80226,"bounds","inferred: above Level 10, below surface"
4472,NA,NA,NA,5417,3642,23,80227,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80227,"bounds","inferred: above Level 10, below surface"
4472,NA,NA,NA,5417,3642,23,80228,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80228,"bounds","inferred: above Level 10, below surface"
4472,NA,NA,NA,5417,3642,23,80229,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80229,"bounds","inferred: above Level 10, below surface"
4472,NA,NA,NA,5417,3642,23,80230,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80230,"bounds","inferred: above Level 10, below surface"
4472,NA,NA,NA,5417,3642,23,80231,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80231,"bounds","inferred: above Level 10, below surface"
4472,NA,NA,NA,5417,3642,23,80232,"event","inferred: above Level 10, below surface"
4472,NA,NA,NA,4192,0,23,80232,"bounds","inferred: above Level 10, below surface"
4484,NA,NA,NA,24677,2252,23,80246,"event","inferred: between Level I and Level III"
4484,NA,NA,NA,23322,4407,23,80246,"bounds","inferred: between Level I and Level III"
4484,NA,NA,NA,65000,27217,37,80248,"event","inferred: below Level III, above 65ka"
4484,NA,NA,NA,65000,28682,37,80248,"bounds","inferred: below Level III, above 65ka"
4490,NA,NA,NA,35000,17377,37,80254,"event","inferred: below Unit II, above 35ka"
4490,NA,NA,NA,35000,17587,37,80254,"bounds","inferred: below Unit II, above 35ka"
4490,NA,NA,NA,17127,9352,23,80256,"event","inferred: between Units II and V"
4490,NA,NA,NA,16912,11012,23,80256,"bounds","inferred: between Units II and V"
4490,NA,NA,NA,17127,9352,23,80257,"event","inferred: between Units II and V"
4490,NA,NA,NA,16912,11012,23,80257,"bounds","inferred: between Units II and V"
4490,NA,NA,NA,17127,9352,23,80258,"event","inferred: between Units II and V"
4490,NA,NA,NA,16912,11012,23,80258,"bounds","inferred: between Units II and V"
4490,NA,NA,NA,17127,9352,23,80259,"event","inferred: between Units II and V"
4490,NA,NA,NA,16912,11012,23,80259,"bounds","inferred: between Units II and V"
4490,NA,NA,NA,17127,9352,23,80260,"event","inferred: between Units II and V"
4490,NA,NA,NA,16912,11012,23,80260,"bounds","inferred: between Units II and V"
4490,NA,NA,NA,17127,9352,23,80261,"event","inferred: between Units II and V"
4490,NA,NA,NA,16912,11012,23,80261,"bounds","inferred: between Units II and V"
4490,NA,NA,NA,2297,0,23,80265,"event","inferred: above VII"
4490,NA,NA,NA,1317,0,23,80265,"bounds","inferred: above VII"
4490,NA,NA,NA,3247,0,23,80266,"event","inferred: bottom of VII to surface"
4490,NA,NA,NA,4222,0,23,80266,"bounds","inferred: bottom of VII to surface"
4490,NA,NA,NA,5547,2297,80,80267,"event","inferred: range of units VI and VII"
4490,NA,NA,NA,5907,1317,80,80267,"bounds","inferred: range of units VI and VII"
4490,NA,NA,NA,9352,5207,80,80268,"event","inferred: range of units V and VI"
4490,NA,NA,NA,11012,4847,80,80268,"bounds","inferred: range of units V and VI"
4490,NA,NA,NA,17587,1317,80,349069,"event","inferred: full range of dated units in collection"
4490,NA,NA,NA,17377,2297,80,349069,"bounds","inferred: full range of dated units in collection"
4490,NA,NA,NA,17377,2297,80,350190,"event","inferred: full range of dated units in collection"
4490,NA,NA,NA,17587,1317,80,350190,"bounds","inferred: full range of dated units in collection"
4490,NA,NA,NA,17587,1317,80,350720,"event","inferred: full range of dated units in collection"
4490,NA,NA,NA,17377,2297,80,350720,"bounds","inferred: full range of dated units in collection"
4490,NA,NA,NA,17587,1317,80,350776,"event","inferred: full range of dated units in collection"
4490,NA,NA,NA,17377,2297,80,350776,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80269,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80269,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80270,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80270,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80271,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80271,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80272,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80272,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80276,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80276,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80277,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80277,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80278,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80278,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80279,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80279,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80280,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80280,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80281,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80281,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80282,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80282,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80283,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80283,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80284,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80284,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80285,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80285,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80286,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80286,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80287,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80287,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80288,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80288,"bounds","inferred: full range of dated units in collection"
4491,NA,NA,NA,41347,26197,80,80289,"event","inferred: full range of dated units in collection"
4491,NA,NA,NA,48497,22772,80,80289,"bounds","inferred: full range of dated units in collection"
