"collectionunitid","geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger","chroncontroltypeid","analysisunitid","chronology.agemodel","chroncontrols.notes"
4605,NA,NA,NA,9852,5902,23,80521,"event","inferred: above Zone I, includes Operations 2-3"
4605,NA,NA,NA,9612,3752,23,80521,"bounds","inferred: above Zone I, includes Operations 2-3"
4605,NA,NA,NA,9852,5902,23,80522,"event","inferred: above Zone I, includes Operations 2-3"
4605,NA,NA,NA,9612,3752,23,80522,"bounds","inferred: above Zone I, includes Operations 2-3"
4606,NA,NA,NA,12907,5000,23,80523,"event","inferred: above 30-40 cm level, biostratigraphically below 5ka"
4606,NA,NA,NA,10282,5000,23,80523,"bounds","inferred: above 30-40 cm level, biostratigraphically below 5ka"
4606,NA,NA,NA,12907,11700,23,80524,"event","inferred: above 30-40 cm level, biostratigraphically below Holocene"
4606,NA,NA,NA,18012,11700,37,80524,"bounds","inferred: above base of 30-40 cm level, biostratigraphically below Holocene"
4606,NA,NA,NA,12907,11700,23,80525,"event","inferred: above 30-40 cm level, biostratigraphically below Holocene"
4606,NA,NA,NA,18012,11700,37,80525,"bounds","inferred: above base of 30-40 cm level, biostratigraphically below Holocene"
4607,NA,NA,NA,2417,1607,80,80528,"event","inferred: range of 1 and 2"
4607,NA,NA,NA,2742,1337,80,80528,"bounds","inferred: range of 1 and 2"
4607,NA,NA,NA,4212,2137,80,80530,"event","inferred: range of 2 and 3"
4607,NA,NA,NA,4292,1817,80,80530,"bounds","inferred: range of 2 and 3"
4607,NA,NA,NA,5487,4087,80,80532,"event","inferred: top of 5 - top of 3"
4607,NA,NA,NA,4972,3997,80,80532,"bounds","inferred: top of 5 - top of 3"
4607,NA,NA,NA,6122,4087,80,80533,"event","inferred: range of 3 and 5"
4607,NA,NA,NA,6637,3997,80,80533,"bounds","inferred: range of 3 and 5"
4607,NA,NA,NA,5487,4212,23,80534,"event","inferred: between 3 and 5"
4607,NA,NA,NA,4972,4292,23,80534,"bounds","inferred: between 3 and 5"
4607,NA,NA,NA,6122,4212,23,80535,"event","inferred: bottom of 3 - bottom of 5"
4607,NA,NA,NA,6637,4292,23,80535,"bounds","inferred: bottom of 3 - bottom of 5"
4607,NA,NA,NA,7362,5487,80,80537,"event","inferred: range of 5 and 6"
4607,NA,NA,NA,7582,4972,80,80537,"bounds","inferred: range of 5 and 6"
4607,NA,NA,NA,9377,5487,80,80538,"event","inferred: range of 5 and 6-7"
4607,NA,NA,NA,9697,4972,80,80538,"bounds","inferred: range of 5 and 6-7"
4607,NA,NA,NA,10517,8142,80,80542,"event","inferred: range of 7 and 8"
4607,NA,NA,NA,10967,7517,80,80542,"bounds","inferred: range of 7 and 8"
4607,NA,NA,NA,10517,1607,80,80544,"event","inferred: full range of dated units in collection"
4607,NA,NA,NA,10967,1337,80,80544,"bounds","inferred: full range of dated units in collection"
4673,NA,NA,NA,1702,1097,80,80628,"event","inferred: full range of dated units in collection"
4673,NA,NA,NA,1717,1082,80,80628,"bounds","inferred: full range of dated units in collection"
4677,NA,NA,NA,5817,1227,80,80634,"event","inferred: full range of dated units in collection"
4677,NA,NA,NA,6127,892,80,80634,"bounds","inferred: full range of dated units in collection"
4691,NA,NA,NA,5642,2292,23,92066,"event","inferred: between Components I and III"
4691,NA,NA,NA,5462,1752,23,92066,"bounds","inferred: between Components I and III"
4718,NA,NA,NA,48352,12912,80,80691,"event","inferred: full range of dated units in collection"
4718,NA,NA,NA,53862,11292,80,80691,"bounds","inferred: full range of dated units in collection"
4718,NA,NA,NA,48352,12912,80,80692,"event","inferred: full range of dated units in collection"
4718,NA,NA,NA,53862,11292,80,80692,"bounds","inferred: full range of dated units in collection"
4718,NA,NA,NA,48352,12912,80,80693,"event","inferred: full range of dated units in collection"
4718,NA,NA,NA,53862,11292,80,80693,"bounds","inferred: full range of dated units in collection"
4718,NA,NA,NA,48352,12912,80,80696,"event","inferred: full range of dated units in collection"
4718,NA,NA,NA,53862,11292,80,80696,"bounds","inferred: full range of dated units in collection"
4718,NA,NA,NA,48352,12912,80,80697,"event","inferred: full range of dated units in collection"
4718,NA,NA,NA,53862,11292,80,80697,"bounds","inferred: full range of dated units in collection"
4718,NA,NA,NA,48352,12912,80,80698,"event","inferred: full range of dated units in collection"
4718,NA,NA,NA,53862,11292,80,80698,"bounds","inferred: full range of dated units in collection"
4718,NA,NA,NA,48352,12912,80,80700,"event","inferred: full range of dated units in collection"
4718,NA,NA,NA,53862,11292,80,80700,"bounds","inferred: full range of dated units in collection"
4839,NA,NA,NA,2257,1377,80,80901,"event","inferred: full range of dated units in collection"
4839,NA,NA,NA,3097,612,80,80901,"bounds","inferred: full range of dated units in collection"
4840,NA,NA,1832,1952,1727,112,80902,"event","inferred: same as Occ. BVIII, CII"
4840,NA,NA,NA,2197,1482,112,80902,"bounds","inferred: same as Occ. BVIII, CII"
4840,NA,NA,1832,1952,1727,112,80903,"event","inferred: same as Occ. BVIII, CII"
4840,NA,NA,NA,2197,1482,112,80903,"bounds","inferred: same as Occ. BVIII, CII"
4840,NA,NA,1832,1952,1727,112,80905,"event","inferred: same as Occ. BVIII, CII"
4840,NA,NA,NA,2197,1482,112,80905,"bounds","inferred: same as Occ. BVIII, CII"
4845,NA,NA,NA,6502,3292,23,80914,"event","inferred: between Horizons 3 and 5"
4845,NA,NA,NA,6112,3442,23,80914,"bounds","inferred: between Horizons 3 and 5"
4845,NA,NA,NA,9077,6857,23,80916,"event","inferred: between Horizons 5 and 9"
4845,NA,NA,NA,8842,7182,23,80916,"bounds","inferred: between Horizons 5 and 9"
4871,NA,NA,NA,1802,1447,80,80943,"event","inferred: full range of dated units in collection"
4871,NA,NA,NA,2017,1252,80,80943,"bounds","inferred: full range of dated units in collection"
4871,NA,NA,NA,1802,1447,80,80944,"event","inferred: full range of dated units in collection"
4871,NA,NA,NA,2017,1252,80,80944,"bounds","inferred: full range of dated units in collection"
4871,NA,NA,NA,1802,1447,80,80945,"event","inferred: full range of dated units in collection"
4871,NA,NA,NA,2017,1252,80,80945,"bounds","inferred: full range of dated units in collection"
4889,NA,NA,NA,8067,397,80,80966,"event","inferred: full range of dated units in collection"
4889,NA,NA,NA,8122,347,80,80966,"bounds","inferred: full range of dated units in collection"
4913,NA,NA,322,367,277,80,80994,"event","inferred: full range of dated units in collection"
4913,NA,NA,NA,467,192,80,80994,"bounds","inferred: full range of dated units in collection"
4913,NA,NA,322,367,277,80,80995,"event","inferred: full range of dated units in collection"
4913,NA,NA,NA,467,192,80,80995,"bounds","inferred: full range of dated units in collection"
4913,NA,NA,322,367,277,80,80996,"event","inferred: full range of dated units in collection"
4913,NA,NA,NA,467,192,80,80996,"bounds","inferred: full range of dated units in collection"
4913,NA,NA,322,367,277,80,80997,"event","inferred: full range of dated units in collection"
4913,NA,NA,NA,467,192,80,80997,"bounds","inferred: full range of dated units in collection"
4913,NA,NA,322,367,277,80,80998,"event","inferred: full range of dated units in collection"
4913,NA,NA,NA,467,192,80,80998,"bounds","inferred: full range of dated units in collection"
4913,NA,NA,322,367,277,80,80999,"event","inferred: full range of dated units in collection"
4913,NA,NA,NA,467,192,80,80999,"bounds","inferred: full range of dated units in collection"
4913,NA,NA,322,367,277,80,81000,"event","inferred: full range of dated units in collection"
4913,NA,NA,NA,467,192,80,81000,"bounds","inferred: full range of dated units in collection"
4913,NA,NA,322,367,277,80,81001,"event","inferred: full range of dated units in collection"
4913,NA,NA,NA,467,192,80,81001,"bounds","inferred: full range of dated units in collection"
4914,NA,NA,NA,597,432,23,81003,"event","inferred: between Heart River and Nailati Phase"
4914,NA,NA,NA,597,432,23,81003,"bounds","inferred: between Heart River and Nailati Phase"
4954,NA,NA,NA,1787,947,80,81049,"event","inferred: full range of dated units in collection"
4954,NA,NA,NA,1822,907,80,81049,"bounds","inferred: full range of dated units in collection"
5046,NA,NA,NA,21000,15197,37,81165,"event","inferred: post-LGM, below lowest dated unit"
5046,NA,NA,NA,21000,19612,37,81165,"bounds","inferred: post-LGM, below lowest dated unit"
5046,NA,NA,NA,2807,0,23,81166,"event","inferred: above youngest dated unit"
5046,NA,NA,NA,847,0,23,81166,"bounds","inferred: above youngest dated unit"
5190,NA,NA,NA,6500,4407,37,81328,"event","inferred: below Late Archaic; Middle Archaic"
5190,NA,NA,NA,6500,5932,37,81328,"bounds","inferred: below Late Archaic; Middle Archaic"
5206,NA,NA,NA,9502,1092,23,81351,"event","inferred: between Occupations I and III"
5206,NA,NA,NA,9362,1207,23,81351,"bounds","inferred: between Occupations I and III"
5206,NA,NA,NA,9697,937,80,81353,"event","inferred: full range of dated analysis units"
5206,NA,NA,NA,9867,812,80,81353,"bounds","inferred: full range of dated analysis units"
5212,NA,NA,NA,1362,0,23,81362,"event","inferred: above Occupation V"
5212,NA,NA,NA,1187,0,23,81362,"bounds","inferred: above Occupation V"
5212,NA,NA,NA,9552,9057,80,81364,"event","inferred: range of Occupations I and II"
5212,NA,NA,NA,9572,9062,80,81364,"bounds","inferred: range of Occupations I and II"
5212,NA,NA,NA,8842,4062,80,81367,"event","inferred: range of Occupations III and IV"
5212,NA,NA,NA,8907,3562,80,81367,"bounds","inferred: range of Occupations III and IV"
5212,NA,NA,NA,4772,1362,80,81369,"event","inferred: range of Occupations IV and V"
5212,NA,NA,NA,5307,1187,80,81369,"bounds","inferred: range of Occupations IV and V"
5212,NA,NA,NA,9552,1362,80,81371,"event","inferred: full range of dated units in collection"
5212,NA,NA,NA,9572,1187,80,81371,"bounds","inferred: full range of dated units in collection"
5212,NA,NA,NA,9552,1362,80,81372,"event","inferred: full range of dated units in collection"
5212,NA,NA,NA,9572,1187,80,81372,"bounds","inferred: full range of dated units in collection"
5226,NA,NA,NA,24832,6812,80,81390,"event","inferred: full range of dated units in collection"
5226,NA,NA,NA,28002,4257,80,81390,"bounds","inferred: full range of dated units in collection"
5226,NA,NA,NA,24832,6812,80,81391,"event","inferred: full range of dated units in collection"
5226,NA,NA,NA,28002,4257,80,81391,"bounds","inferred: full range of dated units in collection"
5226,NA,NA,NA,6812,0,112,81392,"event","inferred: above Unit 2C"
5226,NA,NA,NA,4257,0,112,81392,"bounds","inferred: above Unit 2C"
5226,NA,NA,NA,6812,0,112,81393,"event","inferred: above Unit 2C"
5226,NA,NA,NA,4257,0,112,81393,"bounds","inferred: above Unit 2C"
5226,NA,NA,8472,10167,6812,112,81394,"event","inferred: same as Unit 2C"
5226,NA,NA,NA,13132,4257,112,81394,"bounds","inferred: same as Unit 2C"
5226,NA,NA,8472,10167,6812,112,81396,"event","inferred: same as Unit 2C"
5226,NA,NA,NA,13132,4257,112,81396,"bounds","inferred: same as Unit 2C"
5226,NA,NA,8472,10167,6812,112,81397,"event","inferred: same as Unit 2C"
5226,NA,NA,NA,13132,4257,112,81397,"bounds","inferred: same as Unit 2C"
5226,NA,NA,8472,10167,6812,112,81398,"event","inferred: same as Unit 2C"
5226,NA,NA,NA,13132,4257,112,81398,"bounds","inferred: same as Unit 2C"
5226,NA,NA,NA,24832,7907,80,81402,"event","inferred: full range of dated Unit 3 units"
5226,NA,NA,NA,28002,5192,80,81402,"bounds","inferred: full range of dated Unit 3 units"
5239,NA,NA,NA,2132,0,23,81416,"event","inferred: above Zone 4/7"
5239,NA,NA,NA,2112,0,23,81416,"bounds","inferred: above Zone 4/7"
5239,NA,NA,NA,2132,0,23,81417,"event","inferred: above Zone 4/7"
5239,NA,NA,NA,2112,0,23,81417,"bounds","inferred: above Zone 4/7"
5239,NA,NA,NA,2262,0,23,81418,"event","inferred: to bottom of Zone 4/7"
5239,NA,NA,NA,2282,0,23,81418,"bounds","inferred: to bottom of Zone 4/7"
5239,NA,NA,NA,2262,2132,112,81420,"event","inferred: same as Zone 4/7"
5239,NA,NA,NA,2282,2112,112,81420,"bounds","inferred: same as Zone 4/7"
5239,NA,NA,NA,2262,2132,112,81421,"event","inferred: same as Zone 4/7"
5239,NA,NA,NA,2282,2112,112,81421,"bounds","inferred: same as Zone 4/7"
5239,NA,NA,NA,2262,2132,112,81422,"event","inferred: same as Zone 4/7"
5239,NA,NA,NA,2282,2112,112,81422,"bounds","inferred: same as Zone 4/7"
5239,NA,NA,NA,2262,2132,112,81423,"event","inferred: same as Zone 4/7"
5239,NA,NA,NA,2282,2112,112,81423,"bounds","inferred: same as Zone 4/7"
5313,NA,NA,NA,632,92,80,81507,"event","inferred: full range of dated units in collection"
5313,NA,NA,NA,967,-75,80,81507,"bounds","inferred: full range of dated units in collection"
5313,NA,NA,NA,632,92,80,81508,"event","inferred: full range of dated units in collection"
5313,NA,NA,NA,967,-75,80,81508,"bounds","inferred: full range of dated units in collection"
5313,NA,NA,NA,632,92,80,81509,"event","inferred: full range of dated units in collection"
5313,NA,NA,NA,967,-75,80,81509,"bounds","inferred: full range of dated units in collection"
5313,NA,NA,NA,632,92,80,81510,"event","inferred: full range of dated units in collection"
5313,NA,NA,NA,967,-75,80,81510,"bounds","inferred: full range of dated units in collection"
5313,NA,NA,NA,632,92,80,81512,"event","inferred: full range of dated units in collection"
5313,NA,NA,NA,967,-75,80,81512,"bounds","inferred: full range of dated units in collection"
5314,NA,NA,NA,5932,5777,23,81515,"event","inferred: between 26 and 28"
5314,NA,NA,NA,6937,4292,80,81515,"bounds","inferred: range of 26 and 28"
5314,NA,NA,NA,5932,5777,23,81516,"event","inferred: between 26 and 28"
5314,NA,NA,NA,6937,4292,80,81516,"bounds","inferred: range of 26 and 28"
5314,NA,NA,NA,6912,5932,80,81518,"event","inferred: range of 24 and 21"
5314,NA,NA,NA,7907,5412,80,81518,"bounds","inferred: range of 24 and 21"
5314,NA,NA,NA,7362,6837,23,81521,"event","inferred: between 20 and 18"
5314,NA,NA,NA,8422,5957,80,81521,"bounds","inferred: range of 20 and 18"
5314,NA,NA,NA,9252,8192,80,81525,"event","inferred: range of 14 and 16"
5314,NA,NA,NA,9927,7577,80,81525,"bounds","inferred: range of 14 and 16"
5314,NA,NA,NA,9117,8872,23,81529,"event","inferred: between 9 and 11"
5314,NA,NA,NA,9722,8492,80,81529,"bounds","inferred: range of 9 and 11"
5314,NA,NA,NA,10327,9512,23,81533,"event","inferred: between 8 and 4"
5314,NA,NA,NA,10207,9607,23,81533,"bounds","inferred: between 4 and 8"
5314,NA,NA,NA,10327,9512,23,81534,"event","inferred: between 8 and 4"
5314,NA,NA,NA,10207,9607,23,81534,"bounds","inferred: between 4 and 8"
5314,NA,NA,NA,12662,10522,23,81536,"event","inferred: between Culture Layer 4 and Edgar Level 24+"
5314,NA,NA,NA,12267,10647,23,81536,"bounds","inferred: between Culture Layer 4 and Edgar Level 24+"
5314,NA,NA,NA,4707,1757,23,81538,"event","inferred: between top of 30 and top of 34"
5314,NA,NA,NA,4557,1182,23,81538,"bounds","inferred: between top of 30 and top of 34"
5334,NA,NA,11182,11487,10827,112,81565,"event","inferred: range of dated unit"
5334,NA,NA,NA,12107,10172,112,81565,"bounds","inferred: range of dated unit"
5334,NA,NA,11182,11487,10827,112,81566,"event","inferred: range of dated unit"
5334,NA,NA,NA,12107,10172,112,81566,"bounds","inferred: range of dated unit"
5334,NA,NA,11182,11487,10827,112,81567,"event","inferred: range of dated unit"
5334,NA,NA,NA,12107,10172,112,81567,"bounds","inferred: range of dated unit"
5334,NA,NA,11182,11487,10827,112,81568,"event","inferred: range of dated unit"
5334,NA,NA,NA,12107,10172,112,81568,"bounds","inferred: range of dated unit"
5334,NA,NA,11182,11487,10827,112,81569,"event","inferred: range of dated unit"
5334,NA,NA,NA,12107,10172,112,81569,"bounds","inferred: range of dated unit"
44557,NA,NA,NA,2802,77,80,81609,"event","inferred: full range of dated units in collection"
44557,NA,NA,NA,3317,-8,80,81609,"bounds","inferred: full range of dated units in collection"
44557,NA,NA,NA,2802,77,80,81610,"event","inferred: full range of dated units in collection"
44557,NA,NA,NA,3317,-8,80,81610,"bounds","inferred: full range of dated units in collection"
44557,NA,NA,NA,2802,77,80,81611,"event","inferred: full range of dated units in collection"
44557,NA,NA,NA,3317,-8,80,81611,"bounds","inferred: full range of dated units in collection"
44557,NA,NA,NA,2802,77,80,81612,"event","inferred: full range of dated units in collection"
44557,NA,NA,NA,3317,-8,80,81612,"bounds","inferred: full range of dated units in collection"
44557,NA,NA,NA,2802,77,80,81613,"event","inferred: full range of dated units in collection"
44557,NA,NA,NA,3317,-8,80,81613,"bounds","inferred: full range of dated units in collection"
44557,NA,NA,NA,2802,77,80,81614,"event","inferred: full range of dated units in collection"
44557,NA,NA,NA,3317,-8,80,81614,"bounds","inferred: full range of dated units in collection"
44557,NA,NA,NA,2802,77,80,81615,"event","inferred: full range of dated units in collection"
44557,NA,NA,NA,3317,-8,80,81615,"bounds","inferred: full range of dated units in collection"
44557,NA,NA,NA,2802,77,80,81616,"event","inferred: full range of dated units in collection"
44557,NA,NA,NA,3317,-8,80,81616,"bounds","inferred: full range of dated units in collection"
5389,NA,NA,NA,5112,0,23,81653,"event","inferred: above Stratum II"
5389,NA,NA,NA,4242,0,23,81653,"bounds","inferred: above Stratum II"
5472,NA,NA,NA,8672,1357,23,81761,"event","inferred: between Early/Middle Archaic and Woodland"
5472,NA,NA,NA,6577,1697,23,81761,"bounds","inferred: between Early/Middle Archaic and Woodland"
5495,NA,NA,NA,307,0,23,81793,"event","inferred: above Stratum 2"
5495,NA,NA,NA,227,0,23,81793,"bounds","inferred: above Stratum 2"
5495,NA,NA,NA,1002,307,23,81795,"event","inferred: between Stratum 2 and Stratum 3 Late Woodland"
5495,NA,NA,NA,892,227,23,81795,"bounds","inferred: between Stratum 2 and Stratum 3 Late Woodland"
5495,NA,NA,NA,2922,1197,23,81797,"event","inferred: between Stratum 3 Late Woodland and Stratum 4"
5495,NA,NA,NA,2502,1302,23,81797,"bounds","inferred: between Stratum 3 Late Woodland and Stratum 4"
5499,NA,NA,NA,11700,7187,37,81806,"event","inferred: below Stratum 2; Holocene"
5499,NA,NA,NA,11700,7662,37,81806,"bounds","inferred: below Stratum 2; Holocene"
5499,NA,NA,NA,6362,4917,23,81815,"event","inferred: between Strata 3 and 5"
5499,NA,NA,NA,5897,5182,23,81815,"bounds","inferred: between Strata 3 and 5"
5499,NA,NA,NA,4962,4642,23,81818,"event","inferred: between Strata 6 and 8"
5499,NA,NA,NA,5637,4192,23,81818,"bounds","inferred: range of Strata 6 and 8"
5499,NA,NA,NA,4382,3362,23,81820,"event","inferred: between Strata 8 and 10"
5499,NA,NA,NA,4192,3112,23,81820,"bounds","inferred: between Strata 8 and 10"
5547,NA,NA,NA,4437,3522,23,81871,"event","inferred: top of 11 to top of 13"
5547,NA,NA,NA,4282,3477,23,81871,"bounds","inferred: top of 11 to top of 13"
5547,NA,NA,NA,4832,4437,80,81872,"event","inferred: range of 13 and 17"
5547,NA,NA,NA,5177,4282,80,81872,"bounds","inferred: range of 13 and 17"
5547,NA,NA,NA,5797,5787,23,81873,"event","inferred: top of 24 to top of 26-30"
5547,NA,NA,NA,6937,5617,80,81873,"bounds","inferred: range of 24 and 26-30"
5547,NA,NA,NA,8000,6357,37,81875,"event","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6937,37,81875,"bounds","inferred: below 26-30, above 8ka"
5547,NA,NA,2277,2667,1887,112,81876,"event","inferred: same as Strata 3-5, Horizons 4-6"
5547,NA,NA,NA,3282,1267,112,81876,"bounds","inferred: same as Strata 3-5, Horizons 4-6"
5547,NA,NA,2277,2667,1887,112,81877,"event","inferred: same as Strata 3-5, Horizons 4-6"
5547,NA,NA,NA,3282,1267,112,81877,"bounds","inferred: same as Strata 3-5, Horizons 4-6"
5547,NA,NA,2277,2667,1887,112,81878,"event","inferred: same as Strata 3-5, Horizons 4-6"
5547,NA,NA,NA,3282,1267,112,81878,"bounds","inferred: same as Strata 3-5, Horizons 4-6"
5547,NA,NA,NA,3257,2667,23,81879,"event","inferred: between 3-5 and 7"
5547,NA,NA,NA,3507,1267,80,81879,"bounds","inferred: range of 3-5 and 7"
5547,NA,NA,NA,777,622,23,81881,"event","inferred: between Stratum 1, Horizon 1 and Stratum 1, Horizon 3"
5547,NA,NA,NA,1322,522,80,81881,"bounds","inferred: range of Stratum 1, Horizon 1 and Stratum 1, Horizon 3"
5547,NA,NA,NA,3612,3162,80,81883,"event","inferred: range of 9 and 11"
5547,NA,NA,NA,3662,2757,80,81883,"bounds","inferred: range of 9 and 11"
5547,NA,NA,NA,5797,4832,23,81886,"event","inferred: between 17 and 19"
5547,NA,NA,NA,5682,5177,23,81886,"bounds","inferred: between 17 and 19"
5547,NA,NA,NA,1887,1052,23,81888,"event","inferred: between Stratum 1, Horizon 3 and Strata 3-5"
5547,NA,NA,NA,3282,507,80,81888,"bounds","inferred: range of Stratum 1, Horizon 3 and Strata 3-5"
5547,NA,NA,NA,6047,5787,80,81889,"event","inferred: range of 19 and 24"
5547,NA,NA,NA,6247,5617,80,81889,"bounds","inferred: range of 19 and 24"
5547,NA,NA,NA,6047,5787,80,81890,"event","inferred: range of 19 and 24"
5547,NA,NA,NA,6247,5617,80,81890,"bounds","inferred: range of 19 and 24"
5547,NA,NA,NA,6047,5787,80,81891,"event","inferred: range of 19 and 24"
5547,NA,NA,NA,6247,5617,80,81891,"bounds","inferred: range of 19 and 24"
5547,NA,NA,NA,6047,5787,80,81892,"event","inferred: range of 19 and 24"
5547,NA,NA,NA,6247,5617,80,81892,"bounds","inferred: range of 19 and 24"
5547,NA,NA,NA,8000,6357,37,81893,"event","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6937,37,81893,"bounds","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6357,37,81894,"event","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6937,37,81894,"bounds","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6357,37,81895,"event","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6937,37,81895,"bounds","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6357,37,81896,"event","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6937,37,81896,"bounds","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6357,37,81897,"event","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,8000,6937,37,81897,"bounds","inferred: below 26-30, above 8ka"
5547,NA,NA,NA,3527,3257,80,81898,"event","inferred: range of 7 and 9"
5547,NA,NA,NA,3932,3157,80,81898,"bounds","inferred: range of 7 and 9"
5586,NA,NA,NA,7907,4212,23,81946,"event","inferred: top of Unit 3 - top of Unit 5"
5586,NA,NA,NA,7392,2902,23,81946,"bounds","inferred: top of Unit 3 - top of Unit 5"
5586,NA,NA,NA,4212,1722,23,81947,"event","inferred: top of Unit 5 - top of Unit 8"
5586,NA,NA,NA,2902,1387,23,81947,"bounds","inferred: top of Unit 5 - top of Unit 8"
5590,NA,NA,NA,1407,0,23,81953,"event","inferred: above Brown 3"
5590,NA,NA,NA,1307,0,23,81953,"bounds","inferred: above Brown 3"
5590,NA,NA,NA,2822,1577,23,81955,"event","inferred: between Brown 3 and Brown 5"
5590,NA,NA,NA,2667,1697,23,81955,"bounds","inferred: between Brown 3 and Brown 5"
5590,NA,NA,NA,3977,3047,23,81957,"event","inferred: between Brown 5 and Brown 7"
5590,NA,NA,NA,3847,3207,23,81957,"bounds","inferred: between Brown 5 and Brown 7"
5590,NA,NA,NA,5032,4177,23,81959,"event","inferred: between Brown 7 and Brown 9"
5590,NA,NA,NA,4952,4307,23,81959,"bounds","inferred: between Brown 7 and Brown 9"
5590,NA,NA,NA,5787,1407,80,81961,"event","inferred: full range of dated collection units"
5590,NA,NA,NA,5832,1307,80,81961,"bounds","inferred: full range of dated collection units"
5590,NA,NA,NA,5787,1407,80,81962,"event","inferred: full range of dated collection units"
5590,NA,NA,NA,5832,1307,80,81962,"bounds","inferred: full range of dated collection units"
5590,NA,NA,NA,5787,1407,80,81963,"event","inferred: full range of dated collection units"
5590,NA,NA,NA,5832,1307,80,81963,"bounds","inferred: full range of dated collection units"
5590,NA,NA,NA,5787,1407,80,81964,"event","inferred: full range of dated collection units"
5590,NA,NA,NA,5832,1307,80,81964,"bounds","inferred: full range of dated collection units"
5590,NA,NA,NA,5787,1407,80,81965,"event","inferred: full range of dated collection units"
5590,NA,NA,NA,5832,1307,80,81965,"bounds","inferred: full range of dated collection units"
5590,NA,NA,NA,5787,1407,80,81966,"event","inferred: full range of dated collection units"
5590,NA,NA,NA,5832,1307,80,81966,"bounds","inferred: full range of dated collection units"
5594,NA,NA,NA,2797,2457,23,81976,"event","inferred: between 10 and 12"
5594,NA,NA,NA,2852,797,80,81976,"bounds","inferred: range of 10 and 12"
5594,NA,NA,NA,2457,1042,80,81978,"event","inferred: range of 12 and 14"
5594,NA,NA,NA,3242,372,80,81978,"bounds","inferred: range of 12 and 14"
5594,NA,NA,NA,1042,607,23,81980,"event","inferred: between 14 and 16"
5594,NA,NA,NA,2582,112,80,81980,"bounds","inferred: range of 14 and 16"
5601,NA,NA,NA,13612,11700,37,82003,"event","inferred: above Dung Blanket I; Pleistocene"
5601,NA,NA,NA,13512,11700,37,82003,"bounds","inferred: above Dung Blanket I; Pleistocene"
5602,NA,NA,NA,27282,1317,80,82007,"event","inferred: full range of dated units in collection"
5602,NA,NA,NA,27847,1127,80,82007,"bounds","inferred: full range of dated units in collection"
5602,NA,NA,NA,27282,1317,80,82008,"event","inferred: full range of dated units in collection"
5602,NA,NA,NA,27847,1127,80,82008,"bounds","inferred: full range of dated units in collection"
5602,NA,NA,NA,27282,1317,80,82009,"event","inferred: full range of dated units in collection"
5602,NA,NA,NA,27847,1127,80,82009,"bounds","inferred: full range of dated units in collection"
5602,NA,NA,NA,27282,22657,23,91831,"event","inferred: above bottom of oldest unit, below Level 5"
5602,NA,NA,NA,27847,25722,23,91831,"bounds","inferred: above bottom of oldest unit, below Level 5"
5606,NA,NA,NA,547,0,23,82034,"event","inferred: above Stratum 5"
5606,NA,NA,NA,367,0,23,82034,"bounds","inferred: above Stratum 5"
5606,NA,NA,NA,6000,2252,37,82035,"event","inferred: below Stratum 8; Late Holocene"
5606,NA,NA,NA,6000,2572,37,82035,"bounds","inferred: below Stratum 8; Late Holocene"
5606,NA,NA,NA,6000,2252,37,82036,"event","inferred: below Stratum 8; Late Holocene"
5606,NA,NA,NA,6000,2572,37,82036,"bounds","inferred: below Stratum 8; Late Holocene"
5606,NA,NA,NA,6000,2252,37,82037,"event","inferred: below Stratum 8; Late Holocene"
5606,NA,NA,NA,6000,2572,37,82037,"bounds","inferred: below Stratum 8; Late Holocene"
5606,NA,NA,NA,1912,717,23,82040,"event","inferred: between Strata 5 and 8"
5606,NA,NA,NA,1587,897,23,82040,"bounds","inferred: between Strata 5 and 8"
5606,NA,NA,NA,6000,2252,37,82042,"event","inferred: below Stratum 8; Late Holocene"
5606,NA,NA,NA,6000,2572,37,82042,"bounds","inferred: below Stratum 8; Late Holocene"
5610,NA,NA,NA,6827,0,23,82046,"event","inferred: above Stratum 2"
5610,NA,NA,NA,4382,0,23,82046,"bounds","inferred: above Stratum 2"
5611,NA,NA,NA,8662,3697,23,82050,"event","inferred: between Strata 1 and 3"
5611,NA,NA,NA,8112,4307,23,82050,"bounds","inferred: between Strata 1 and 3"
5614,NA,NA,NA,4302,0,23,82058,"event","inferred: above Stratum 2"
5614,NA,NA,NA,3587,0,23,82058,"bounds","inferred: above Stratum 2"
5615,NA,NA,NA,14152,13342,112,82061,"event","inferred: same as Unit 1b"
5615,NA,NA,NA,14872,12667,112,82061,"bounds","inferred: same as Unit 1b"
5622,NA,NA,NA,14787,13067,80,82087,"event","inferred: full range of Dung Units 2 and 3"
