"collectionunitid","analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger","TEMP_chronid"
"5334",81567,"event",11182,11487,10827,"TEMP708"
"5334",81567,"bounds",NA,12107,10172,"TEMP707"
"5334",81568,"event",11182,11487,10827,"TEMP708"
"5334",81568,"bounds",NA,12107,10172,"TEMP707"
"5334",81569,"event",11182,11487,10827,"TEMP708"
"5334",81569,"bounds",NA,12107,10172,"TEMP707"
"5389",81653,"event",NA,5112,0,"TEMP732"
"5389",81653,"bounds",NA,4242,0,"TEMP731"
"5472",81761,"event",NA,8672,1357,"TEMP754"
"5472",81761,"bounds",NA,6577,1697,"TEMP753"
"5495",81793,"event",NA,307,0,"TEMP774"
"5495",81793,"bounds",NA,227,0,"TEMP773"
"5495",81795,"event",NA,1002,307,"TEMP774"
"5495",81795,"bounds",NA,892,227,"TEMP773"
"5495",81797,"event",NA,2922,1197,"TEMP774"
"5495",81797,"bounds",NA,2502,1302,"TEMP773"
"5499",81806,"event",NA,11700,7187,"TEMP782"
"5499",81806,"bounds",NA,11700,7662,"TEMP781"
"5499",81815,"event",NA,6362,4917,"TEMP782"
"5499",81815,"bounds",NA,5897,5182,"TEMP781"
"5499",81818,"event",NA,4962,4642,"TEMP782"
"5499",81818,"bounds",NA,5637,4192,"TEMP781"
"5499",81820,"event",NA,4382,3362,"TEMP782"
"5499",81820,"bounds",NA,4192,3112,"TEMP781"
"5547",81871,"event",NA,4437,3522,"TEMP798"
"5547",81871,"bounds",NA,4282,3477,"TEMP797"
"5547",81872,"event",NA,4832,4437,"TEMP798"
"5547",81872,"bounds",NA,5177,4282,"TEMP797"
"5547",81873,"event",NA,5797,5787,"TEMP798"
"5547",81873,"bounds",NA,6937,5617,"TEMP797"
"5547",81875,"event",NA,8000,6357,"TEMP798"
"5547",81875,"bounds",NA,8000,6937,"TEMP797"
"5547",81876,"event",2277,2667,1887,"TEMP798"
"5547",81876,"bounds",NA,3282,1267,"TEMP797"
"5547",81877,"event",2277,2667,1887,"TEMP798"
"5547",81877,"bounds",NA,3282,1267,"TEMP797"
"5547",81878,"event",2277,2667,1887,"TEMP798"
"5547",81878,"bounds",NA,3282,1267,"TEMP797"
"5547",81879,"event",NA,3257,2667,"TEMP798"
"5547",81879,"bounds",NA,3507,1267,"TEMP797"
"5547",81881,"event",NA,777,622,"TEMP798"
"5547",81881,"bounds",NA,1322,522,"TEMP797"
"5547",81883,"event",NA,3612,3162,"TEMP798"
"5547",81883,"bounds",NA,3662,2757,"TEMP797"
"5547",81886,"event",NA,5797,4832,"TEMP798"
"5547",81886,"bounds",NA,5682,5177,"TEMP797"
"5547",81888,"event",NA,1887,1052,"TEMP798"
"5547",81888,"bounds",NA,3282,507,"TEMP797"
"5547",81889,"event",NA,6047,5787,"TEMP798"
"5547",81889,"bounds",NA,6247,5617,"TEMP797"
"5547",81890,"event",NA,6047,5787,"TEMP798"
"5547",81890,"bounds",NA,6247,5617,"TEMP797"
"5547",81891,"event",NA,6047,5787,"TEMP798"
"5547",81891,"bounds",NA,6247,5617,"TEMP797"
"5547",81892,"event",NA,6047,5787,"TEMP798"
"5547",81892,"bounds",NA,6247,5617,"TEMP797"
"5547",81893,"event",NA,8000,6357,"TEMP798"
"5547",81893,"bounds",NA,8000,6937,"TEMP797"
"5547",81894,"event",NA,8000,6357,"TEMP798"
"5547",81894,"bounds",NA,8000,6937,"TEMP797"
"5547",81895,"event",NA,8000,6357,"TEMP798"
"5547",81895,"bounds",NA,8000,6937,"TEMP797"
"5547",81896,"event",NA,8000,6357,"TEMP798"
"5547",81896,"bounds",NA,8000,6937,"TEMP797"
"5547",81897,"event",NA,8000,6357,"TEMP798"
"5547",81897,"bounds",NA,8000,6937,"TEMP797"
"5547",81898,"event",NA,3527,3257,"TEMP798"
"5547",81898,"bounds",NA,3932,3157,"TEMP797"
"5586",81946,"event",NA,7907,4212,"TEMP806"
"5586",81946,"bounds",NA,7392,2902,"TEMP805"
"5586",81947,"event",NA,4212,1722,"TEMP806"
"5586",81947,"bounds",NA,2902,1387,"TEMP805"
"5590",81953,"event",NA,1407,0,"TEMP810"
"5590",81953,"bounds",NA,1307,0,"TEMP809"
"5590",81955,"event",NA,2822,1577,"TEMP810"
"5590",81955,"bounds",NA,2667,1697,"TEMP809"
"5590",81957,"event",NA,3977,3047,"TEMP810"
"5590",81957,"bounds",NA,3847,3207,"TEMP809"
"5590",81959,"event",NA,5032,4177,"TEMP810"
"5590",81959,"bounds",NA,4952,4307,"TEMP809"
"5590",81961,"event",NA,5787,1407,"TEMP810"
"5590",81961,"bounds",NA,5832,1307,"TEMP809"
"5590",81962,"event",NA,5787,1407,"TEMP810"
"5590",81962,"bounds",NA,5832,1307,"TEMP809"
"5590",81963,"event",NA,5787,1407,"TEMP810"
"5590",81963,"bounds",NA,5832,1307,"TEMP809"
"5590",81964,"event",NA,5787,1407,"TEMP810"
"5590",81964,"bounds",NA,5832,1307,"TEMP809"
"5590",81965,"event",NA,5787,1407,"TEMP810"
"5590",81965,"bounds",NA,5832,1307,"TEMP809"
"5590",81966,"event",NA,5787,1407,"TEMP810"
"5590",81966,"bounds",NA,5832,1307,"TEMP809"
"5594",81976,"event",NA,2797,2457,"TEMP814"
"5594",81976,"bounds",NA,2852,797,"TEMP813"
"5594",81978,"event",NA,2457,1042,"TEMP814"
"5594",81978,"bounds",NA,3242,372,"TEMP813"
"5594",81980,"event",NA,1042,607,"TEMP814"
"5594",81980,"bounds",NA,2582,112,"TEMP813"
"5601",82003,"event",NA,13612,11700,"TEMP816"
"5601",82003,"bounds",NA,13512,11700,"TEMP815"
"5602",82007,"event",NA,27282,1317,"TEMP818"
"5602",82007,"bounds",NA,27847,1127,"TEMP817"
"5602",82008,"event",NA,27282,1317,"TEMP818"
"5602",82008,"bounds",NA,27847,1127,"TEMP817"
"5602",82009,"event",NA,27282,1317,"TEMP818"
"5602",82009,"bounds",NA,27847,1127,"TEMP817"
"5602",91831,"event",NA,27282,22657,"TEMP818"
"5602",91831,"bounds",NA,27847,25722,"TEMP817"
"5606",82034,"event",NA,547,0,"TEMP824"
"5606",82034,"bounds",NA,367,0,"TEMP823"
"5606",82035,"event",NA,6000,2252,"TEMP824"
"5606",82035,"bounds",NA,6000,2572,"TEMP823"
"5606",82036,"event",NA,6000,2252,"TEMP824"
"5606",82036,"bounds",NA,6000,2572,"TEMP823"
"5606",82037,"event",NA,6000,2252,"TEMP824"
"5606",82037,"bounds",NA,6000,2572,"TEMP823"
"5606",82040,"event",NA,1912,717,"TEMP824"
"5606",82040,"bounds",NA,1587,897,"TEMP823"
"5606",82042,"event",NA,6000,2252,"TEMP824"
"5606",82042,"bounds",NA,6000,2572,"TEMP823"
"5610",82046,"event",NA,6827,0,"TEMP830"
"5610",82046,"bounds",NA,4382,0,"TEMP829"
"5611",82050,"event",NA,8662,3697,"TEMP832"
"5611",82050,"bounds",NA,8112,4307,"TEMP831"
"5614",82058,"event",NA,4302,0,"TEMP838"
"5614",82058,"bounds",NA,3587,0,"TEMP837"
"5615",82061,"event",NA,14152,13342,"TEMP840"
"5615",82061,"bounds",NA,14872,12667,"TEMP839"
"5622",82087,"event",NA,14787,13067,"TEMP854"
"5622",82087,"bounds",NA,15037,12872,"TEMP853"
"5623",82094,"event",NA,10652,0,"TEMP856"
"5623",82094,"bounds",NA,9787,0,"TEMP855"
"5623",82095,"event",NA,10652,0,"TEMP856"
"5623",82095,"bounds",NA,9787,0,"TEMP855"
"5623",85044,"event",NA,10652,0,"TEMP856"
"5623",85044,"bounds",NA,9787,0,"TEMP855"
"5623",85045,"event",NA,25177,11442,"TEMP856"
"5623",85045,"bounds",NA,24122,12312,"TEMP855"
"5628",82107,"event",NA,11717,8357,"TEMP860"
"5628",82107,"bounds",NA,12132,7922,"TEMP859"
"5628",82108,"event",NA,2227,0,"TEMP860"
"5628",82108,"bounds",NA,957,0,"TEMP859"
"5628",91841,"event",NA,21000,13127,"TEMP860"
"5628",91841,"bounds",NA,21000,13252,"TEMP859"
"5628",91842,"event",NA,21000,13127,"TEMP860"
"5628",91842,"bounds",NA,21000,13252,"TEMP859"
"5700",82196,"event",NA,1692,1442,"TEMP968"
"5700",82196,"bounds",NA,2297,927,"TEMP967"
"5708",82206,"event",NA,9777,657,"TEMP976"
"5708",82206,"bounds",NA,10147,87,"TEMP975"
"5708",82208,"event",NA,932,657,"TEMP976"
"5708",82208,"bounds",NA,612,87,"TEMP975"
"5708",82209,"event",NA,1352,932,"TEMP976"
"5708",82209,"bounds",NA,1732,612,"TEMP975"
"5708",82210,"event",NA,1352,932,"TEMP976"
"5708",82210,"bounds",NA,1732,612,"TEMP975"
"5708",82214,"event",NA,11700,9777,"TEMP976"
"5708",82214,"bounds",NA,11700,10147,"TEMP975"
"5711",82221,"event",NA,11700,8617,"TEMP982"
"5711",82221,"bounds",NA,11700,8917,"TEMP981"
"5711",82223,"event",NA,5907,5067,"TEMP982"
"5711",82223,"bounds",NA,6317,4477,"TEMP981"
"5711",82224,"event",NA,5627,5547,"TEMP982"
"5711",82224,"bounds",NA,6227,5132,"TEMP981"
"5711",82225,"event",NA,5627,5547,"TEMP982"
"5711",82225,"bounds",NA,6227,5132,"TEMP981"
"5711",82228,"event",NA,5252,3637,"TEMP982"
"5711",82228,"bounds",NA,5617,3212,"TEMP981"
"5711",82230,"event",NA,4037,3507,"TEMP982"
"5711",82230,"bounds",NA,4462,3362,"TEMP981"
"5711",82231,"event",NA,4037,3507,"TEMP982"
"5711",82231,"bounds",NA,4462,3362,"TEMP981"
"5711",82233,"event",NA,4037,3507,"TEMP982"
"5711",82233,"bounds",NA,4462,3362,"TEMP981"
"5711",82234,"event",NA,4037,3507,"TEMP982"
"5711",82234,"bounds",NA,4462,3362,"TEMP981"
"5711",82236,"event",NA,8297,8042,"TEMP982"
"5711",82236,"bounds",NA,8917,7512,"TEMP981"
"5711",82239,"event",NA,7827,6792,"TEMP982"
"5711",82239,"bounds",NA,8487,5992,"TEMP981"
"5711",82240,"event",NA,7827,6792,"TEMP982"
"5711",82240,"bounds",NA,8487,5992,"TEMP981"
"5711",82242,"event",NA,6792,5907,"TEMP982"
"5711",82242,"bounds",NA,8357,5132,"TEMP981"
"5722",82275,"event",NA,4797,4702,"TEMP988"
"5722",82275,"bounds",NA,4832,4667,"TEMP987"
"5722",82276,"event",NA,4797,4702,"TEMP988"
"5722",82276,"bounds",NA,4832,4667,"TEMP987"
"5722",82277,"event",NA,4797,4702,"TEMP988"
"5722",82277,"bounds",NA,4832,4667,"TEMP987"
"5722",82278,"event",NA,4797,4702,"TEMP988"
"5722",82278,"bounds",NA,4832,4667,"TEMP987"
"5722",82280,"event",NA,4417,0,"TEMP988"
"5722",82280,"bounds",NA,4462,0,"TEMP987"
"5722",82281,"event",NA,4417,0,"TEMP988"
"5722",82281,"bounds",NA,4462,0,"TEMP987"
"5747",82313,"event",NA,38027,31892,"TEMP1012"
"5747",82313,"bounds",NA,38667,31587,"TEMP1011"
"5756",82336,"event",NA,1527,0,"TEMP1014"
"5756",82336,"bounds",NA,1277,0,"TEMP1013"
"5756",82337,"event",NA,1527,0,"TEMP1014"
"5756",82337,"bounds",NA,1277,0,"TEMP1013"
"5756",82338,"event",NA,3982,1767,"TEMP1014"
"5756",82338,"bounds",NA,3367,2017,"TEMP1013"
"5756",82340,"event",NA,9000,4577,"TEMP1014"
"5756",82340,"bounds",NA,9000,5197,"TEMP1013"
"5756",82341,"event",NA,9000,4577,"TEMP1014"
"5756",82341,"bounds",NA,9000,5197,"TEMP1013"
"5756",82342,"event",NA,9000,4577,"TEMP1014"
"5756",82342,"bounds",NA,9000,5197,"TEMP1013"
"5756",91851,"event",NA,9000,4577,"TEMP1014"
"5756",91851,"bounds",NA,9000,5197,"TEMP1013"
"5757",82343,"event",NA,8327,7122,"TEMP1016"
"5757",82343,"bounds",NA,7922,7432,"TEMP1015"
"5757",82344,"event",NA,8327,7122,"TEMP1016"
"5757",82344,"bounds",NA,7922,7432,"TEMP1015"
"5757",91853,"event",NA,8327,7122,"TEMP1016"
"5757",91853,"bounds",NA,7922,7432,"TEMP1015"
"5768",82365,"event",NA,1457,1367,"TEMP1024"
"5768",82365,"bounds",NA,1452,1377,"TEMP1023"
"5768",82368,"event",NA,1457,1367,"TEMP1024"
"5768",82368,"bounds",NA,1452,1377,"TEMP1023"
"5768",82369,"event",NA,6000,1562,"TEMP1024"
"5768",82369,"bounds",NA,6000,1552,"TEMP1023"
"5786",82400,"event",NA,442,0,"TEMP1050"
"5786",82400,"bounds",NA,247,0,"TEMP1049"
"5786",82401,"event",NA,442,0,"TEMP1050"
"5786",82401,"bounds",NA,247,0,"TEMP1049"
"5795",82418,"event",NA,312,0,"TEMP1056"
"5795",82418,"bounds",NA,287,0,"TEMP1055"
"5814",82449,"event",11892,12247,11522,"TEMP1062"
"5814",82449,"bounds",NA,12862,10872,"TEMP1061"
"5814",82450,"event",NA,12592,2092,"TEMP1062"
"5814",82450,"bounds",NA,12862,237,"TEMP1061"
"5814",82455,"event",NA,10587,4742,"TEMP1062"
"5814",82455,"bounds",NA,13557,4092,"TEMP1061"
"5814",82456,"event",NA,10587,4742,"TEMP1062"
"5814",82456,"bounds",NA,13557,4092,"TEMP1061"
"5828",82477,"event",NA,3947,307,"TEMP1068"
"5828",82477,"bounds",NA,4587,277,"TEMP1067"
"5828",82482,"event",NA,3147,2552,"TEMP1068"
"5828",82482,"bounds",NA,4587,1562,"TEMP1067"
"5828",82484,"event",NA,767,307,"TEMP1068"
"5828",82484,"bounds",NA,542,277,"TEMP1067"
"5828",82485,"event",NA,767,307,"TEMP1068"
"5828",82485,"bounds",NA,542,277,"TEMP1067"
"5828",82487,"event",NA,3947,987,"TEMP1068"
"5828",82487,"bounds",NA,4587,1212,"TEMP1067"
"5829",82488,"event",NA,1937,672,"TEMP1070"
"5829",82488,"bounds",NA,2542,657,"TEMP1069"
"5829",82492,"event",NA,1177,1022,"TEMP1070"
"5829",82492,"bounds",NA,1347,747,"TEMP1069"
"5829",82493,"event",NA,1177,852,"TEMP1070"
"5829",82493,"bounds",NA,1102,747,"TEMP1069"
"5829",82495,"event",NA,1277,1042,"TEMP1070"
"5829",82495,"bounds",NA,1347,962,"TEMP1069"
"5829",82497,"event",NA,1312,1042,"TEMP1070"
"5829",82497,"bounds",NA,1602,962,"TEMP1069"
"5829",82499,"event",NA,1937,1337,"TEMP1070"
"5829",82499,"bounds",NA,2542,1277,"TEMP1069"
"5829",82500,"event",NA,1937,962,"TEMP1070"
"5829",82500,"bounds",NA,2542,672,"TEMP1069"
"5939",82653,"event",NA,11700,6962,"TEMP1132"
"5939",82653,"bounds",NA,11700,8307,"TEMP1131"
"5939",82654,"event",NA,11700,6962,"TEMP1132"
"5939",82654,"bounds",NA,11700,8307,"TEMP1131"
"5939",82657,"event",NA,1562,1407,"TEMP1132"
"5939",82657,"bounds",NA,3827,-75,"TEMP1131"
"5964",82701,"event",NA,2662,317,"TEMP1154"
"5964",82701,"bounds",NA,3462,62,"TEMP1153"
"5965",82702,"event",NA,877,262,"TEMP1156"
"5965",82702,"bounds",NA,1222,22,"TEMP1155"
"5983",82722,"event",NA,6000,2182,"TEMP1162"
"5983",82722,"bounds",NA,6000,2702,"TEMP1161"
"5984",82723,"event",NA,1072,0,"TEMP1164"
"5984",82723,"bounds",NA,822,0,"TEMP1163"
"5984",82726,"event",NA,6000,1687,"TEMP1164"
"5984",82726,"bounds",NA,6000,2072,"TEMP1163"
"5995",82742,"event",NA,6792,3377,"TEMP1174"
"5995",82742,"bounds",NA,6677,3457,"TEMP1173"
"5995",82744,"event",NA,8732,6927,"TEMP1174"
"5995",82744,"bounds",NA,8522,7047,"TEMP1173"
"5995",82748,"event",NA,14800,12462,"TEMP1174"
"5995",82748,"bounds",NA,14800,12847,"TEMP1173"
"6007",82764,"event",NA,547,0,"TEMP1194"
"6007",82764,"bounds",NA,457,0,"TEMP1193"
"6007",82769,"event",NA,6000,4442,"TEMP1194"
"6007",82769,"bounds",NA,6000,4587,"TEMP1193"
"6010",82779,"event",NA,3072,0,"TEMP1200"
"6010",82779,"bounds",NA,3127,0,"TEMP1199"
"6010",82780,"event",NA,6000,3967,"TEMP1200"
"6010",82780,"bounds",NA,6000,3967,"TEMP1199"
"6010",82782,"event",NA,6000,3967,"TEMP1200"
"6010",82782,"bounds",NA,6000,3967,"TEMP1199"
"6011",82785,"event",NA,6000,1337,"TEMP1202"
"6011",82785,"bounds",NA,6000,1677,"TEMP1201"
"6011",82786,"event",NA,6000,1337,"TEMP1202"
"6011",82786,"bounds",NA,6000,1677,"TEMP1201"
"6017",82809,"event",NA,767,0,"TEMP1210"
"6017",82809,"bounds",NA,687,0,"TEMP1209"
"6017",82810,"bounds",NA,687,0,"TEMP1209"
"6018",82812,"event",NA,762,422,"TEMP1212"
"6018",82812,"bounds",NA,742,452,"TEMP1211"
"6018",82813,"bounds",NA,742,452,"TEMP1211"
"6020",82819,"event",NA,2497,0,"TEMP1216"
"6020",82819,"bounds",NA,2412,0,"TEMP1215"
"6020",82820,"event",NA,2707,2497,"TEMP1216"
"6020",82820,"bounds",NA,2807,2412,"TEMP1215"
"6020",82821,"event",NA,2497,0,"TEMP1216"
"6020",82821,"bounds",NA,2412,0,"TEMP1215"
"6020",82822,"event",NA,2497,0,"TEMP1216"
"6020",82822,"bounds",NA,2412,0,"TEMP1215"
"6020",82823,"event",NA,2497,0,"TEMP1216"
"6020",82823,"bounds",NA,2412,0,"TEMP1215"
"6021",82827,"event",NA,752,437,"TEMP1218"
"6021",82827,"bounds",NA,817,477,"TEMP1217"
"6021",82829,"event",NA,6000,1472,"TEMP1218"
"6021",82829,"bounds",NA,6000,1262,"TEMP1217"
"6022",82830,"event",NA,6000,1197,"TEMP1220"
"6022",82830,"bounds",NA,6000,1377,"TEMP1219"
"6022",82833,"event",NA,967,0,"TEMP1220"
"6022",82833,"bounds",NA,832,0,"TEMP1219"
"6023",82837,"event",NA,6000,3337,"TEMP1222"
"6023",82837,"bounds",NA,6000,3582,"TEMP1221"
"6034",82852,"event",NA,11700,7637,"TEMP1226"
"6034",82852,"bounds",NA,11700,7657,"TEMP1225"
"6034",82853,"event",NA,5967,0,"TEMP1226"
"6034",82853,"bounds",NA,5892,0,"TEMP1225"
"6034",82855,"event",NA,5967,0,"TEMP1226"
"6034",82855,"bounds",NA,5892,0,"TEMP1225"
"6034",82857,"event",NA,5967,0,"TEMP1226"
"6034",82857,"bounds",NA,5892,0,"TEMP1225"
"6035",82858,"event",NA,562,0,"TEMP1228"
"6035",82858,"bounds",NA,437,0,"TEMP1227"
"6035",82859,"event",NA,6000,877,"TEMP1228"
"6035",82859,"bounds",NA,6000,962,"TEMP1227"
"6035",82860,"event",NA,562,0,"TEMP1228"
"6035",82860,"bounds",NA,437,0,"TEMP1227"
"6035",82863,"event",NA,6000,877,"TEMP1228"
"6035",82863,"bounds",NA,6000,962,"TEMP1227"
"6138",82980,"event",NA,15657,13002,"TEMP1254"
"6138",82980,"bounds",NA,18547,11732,"TEMP1253"
"6149",82998,"event",NA,14707,3597,"TEMP1262"
"6149",82998,"bounds",NA,15827,3262,"TEMP1261"
"6149",82999,"event",NA,3597,1,"TEMP1262"
"6149",82999,"bounds",NA,3262,1,"TEMP1261"
"6149",83000,"event",NA,3597,1,"TEMP1262"
"6149",83000,"bounds",NA,3262,1,"TEMP1261"
"6149",83001,"event",NA,3597,1,"TEMP1262"
"6149",83001,"bounds",NA,3262,1,"TEMP1261"
"6149",83002,"event",NA,3597,1,"TEMP1262"
"6149",83002,"bounds",NA,3262,1,"TEMP1261"
"6149",83003,"event",4132,4687,3597,"TEMP1262"
"6149",83003,"bounds",NA,5072,3262,"TEMP1261"
"6149",83004,"event",4132,4687,3597,"TEMP1262"
"6149",83004,"bounds",NA,5072,3262,"TEMP1261"
"6149",83005,"event",NA,8122,4687,"TEMP1262"
"6149",83005,"bounds",NA,7977,5072,"TEMP1261"
"6149",83006,"event",NA,8122,4687,"TEMP1262"
"6149",83006,"bounds",NA,7977,5072,"TEMP1261"
"6149",83007,"event",NA,8122,4687,"TEMP1262"
"6149",83007,"bounds",NA,7977,5072,"TEMP1261"
"6149",83008,"event",NA,8122,4687,"TEMP1262"
"6149",83008,"bounds",NA,7977,5072,"TEMP1261"
"6149",83009,"event",NA,8122,4687,"TEMP1262"
"6149",83009,"bounds",NA,7977,5072,"TEMP1261"
"6149",83010,"event",NA,8122,4687,"TEMP1262"
"6149",83010,"bounds",NA,7977,5072,"TEMP1261"
"6149",83011,"event",NA,9657,4687,"TEMP1262"
"6149",83011,"bounds",NA,9792,5072,"TEMP1261"
"6149",83012,"event",NA,8122,4687,"TEMP1262"
"6149",83012,"bounds",NA,7977,5072,"TEMP1261"
"6149",83013,"event",NA,8122,4687,"TEMP1262"
"6149",83013,"bounds",NA,7977,5072,"TEMP1261"
"6149",83014,"event",NA,8122,4687,"TEMP1262"
"6149",83014,"bounds",NA,7977,5072,"TEMP1261"
"6149",83015,"event",NA,8122,4687,"TEMP1262"
"6149",83015,"bounds",NA,7977,5072,"TEMP1261"
"6149",83016,"event",NA,8122,4687,"TEMP1262"
"6149",83016,"bounds",NA,7977,5072,"TEMP1261"
"6149",83017,"event",9417,9657,9232,"TEMP1262"
"6149",83017,"bounds",NA,9792,9062,"TEMP1261"
"6149",83018,"event",9417,9657,9232,"TEMP1262"
"6149",83018,"bounds",NA,9792,9062,"TEMP1261"
"6149",83019,"event",9417,9657,9232,"TEMP1262"
"6149",83019,"bounds",NA,9792,9062,"TEMP1261"
"6149",83020,"event",9417,9657,9232,"TEMP1262"
"6149",83020,"bounds",NA,9792,9062,"TEMP1261"
"6149",83021,"event",9417,9657,9232,"TEMP1262"
"6149",83021,"bounds",NA,9792,9062,"TEMP1261"
"6149",83022,"event",9417,9657,9232,"TEMP1262"
"6149",83022,"bounds",NA,9792,9062,"TEMP1261"
"6149",83023,"event",9417,9657,9232,"TEMP1262"
"6149",83023,"bounds",NA,9792,9062,"TEMP1261"
"6149",83024,"event",9417,9657,9232,"TEMP1262"
"6149",83024,"bounds",NA,9792,9062,"TEMP1261"
"6149",83025,"event",9417,9657,9232,"TEMP1262"
"6149",83025,"bounds",NA,9792,9062,"TEMP1261"
"6150",83027,"event",NA,8187,4002,"TEMP1264"
"6150",83027,"bounds",NA,8362,3697,"TEMP1263"
"6150",83028,"event",NA,7902,4537,"TEMP1264"
"6150",83028,"bounds",NA,7727,4942,"TEMP1263"
"6150",83029,"event",NA,7902,4537,"TEMP1264"
"6150",83029,"bounds",NA,7727,4942,"TEMP1263"
"6150",83030,"event",NA,11700,7902,"TEMP1264"
"6150",83030,"bounds",NA,11700,7727,"TEMP1263"
"6150",83031,"event",NA,4002,0,"TEMP1264"
"6150",83031,"bounds",NA,3697,0,"TEMP1263"
"6150",83032,"event",NA,4537,4002,"TEMP1264"
"6150",83032,"bounds",NA,4942,3697,"TEMP1263"
"6150",83033,"event",NA,7902,4537,"TEMP1264"
"6150",83033,"bounds",NA,7727,4942,"TEMP1263"
"6170",83056,"event",NA,11700,8147,"TEMP1274"
"6170",83056,"bounds",NA,11700,8137,"TEMP1273"
"6191",83085,"event",NA,702,1,"TEMP1284"
"6191",83085,"bounds",NA,512,1,"TEMP1283"
"6191",83086,"event",NA,2212,957,"TEMP1284"
"6191",83086,"bounds",NA,2102,1177,"TEMP1283"
"6191",83088,"event",NA,3312,2472,"TEMP1284"
"6191",83088,"bounds",NA,2992,2597,"TEMP1283"
"6191",83089,"event",NA,3312,2472,"TEMP1284"
"6191",83089,"bounds",NA,2992,2597,"TEMP1283"
"6191",83090,"event",NA,3312,2472,"TEMP1284"
"6191",83090,"bounds",NA,2992,2597,"TEMP1283"
"6191",83092,"event",NA,7407,3667,"TEMP1284"
"6191",83092,"bounds",NA,6847,3957,"TEMP1283"
"6191",83093,"event",NA,7407,3667,"TEMP1284"
"6191",83093,"bounds",NA,6847,3957,"TEMP1283"
"6191",83094,"event",NA,7407,3667,"TEMP1284"
"6191",83094,"bounds",NA,6847,3957,"TEMP1283"
"6191",83095,"event",NA,702,1,"TEMP1284"
"6191",83095,"bounds",NA,512,1,"TEMP1283"
"6191",83096,"event",NA,7407,3667,"TEMP1284"
"6191",83096,"bounds",NA,6847,3957,"TEMP1283"
"6191",83097,"event",NA,7407,3667,"TEMP1284"
"6191",83097,"bounds",NA,6847,3957,"TEMP1283"
"6191",83098,"event",NA,7407,3667,"TEMP1284"
"6191",83098,"bounds",NA,6847,3957,"TEMP1283"
"6191",83099,"event",NA,7407,3667,"TEMP1284"
"6191",83099,"bounds",NA,6847,3957,"TEMP1283"
"6191",83100,"event",NA,7407,3667,"TEMP1284"
"6191",83100,"bounds",NA,6847,3957,"TEMP1283"
"6191",83101,"event",NA,702,1,"TEMP1284"
"6191",83101,"bounds",NA,512,1,"TEMP1283"
"6191",83104,"event",NA,702,1,"TEMP1284"
"6191",83104,"bounds",NA,512,1,"TEMP1283"
"6191",83106,"event",NA,2212,957,"TEMP1284"
"6191",83106,"bounds",NA,2102,1177,"TEMP1283"
"6191",83107,"event",NA,2212,957,"TEMP1284"
"6191",83107,"bounds",NA,2102,1177,"TEMP1283"
"6191",83108,"event",NA,2212,957,"TEMP1284"
"6191",83108,"bounds",NA,2102,1177,"TEMP1283"
"6191",83109,"event",NA,2212,957,"TEMP1284"
"6191",83109,"bounds",NA,2102,1177,"TEMP1283"
"6192",83110,"event",NA,347,0,"TEMP1286"
"6192",83110,"bounds",NA,262,0,"TEMP1285"
"6192",83111,"event",NA,347,0,"TEMP1286"
"6192",83111,"bounds",NA,262,0,"TEMP1285"
"6192",83112,"event",NA,347,0,"TEMP1286"
"6192",83112,"bounds",NA,262,0,"TEMP1285"
"6192",83113,"event",NA,347,0,"TEMP1286"
"6192",83113,"bounds",NA,262,0,"TEMP1285"
"6192",83115,"event",NA,347,0,"TEMP1286"
"6192",83115,"bounds",NA,262,0,"TEMP1285"
"6192",83116,"event",NA,1397,502,"TEMP1286"
"6192",83116,"bounds",NA,1242,607,"TEMP1285"
"6192",83117,"event",NA,1607,1397,"TEMP1286"
"6192",83117,"bounds",NA,1762,1242,"TEMP1285"
"6192",83118,"event",NA,2912,1607,"TEMP1286"
"6192",83118,"bounds",NA,2757,1762,"TEMP1285"
"6192",83119,"event",NA,3182,1607,"TEMP1286"
"6192",83119,"bounds",NA,3337,1762,"TEMP1285"
"6192",83121,"event",NA,5642,4487,"TEMP1286"
"6192",83121,"bounds",NA,5047,4562,"TEMP1285"
"6192",83123,"event",NA,347,0,"TEMP1286"
"6192",83123,"bounds",NA,262,0,"TEMP1285"
"6192",83124,"event",NA,11700,6302,"TEMP1286"
"6192",83124,"bounds",NA,11700,6847,"TEMP1285"
"6192",83125,"event",NA,35000,11700,"TEMP1286"
"6192",83125,"bounds",NA,35000,11700,"TEMP1285"
"6192",83126,"event",NA,347,0,"TEMP1286"
"6192",83126,"bounds",NA,262,0,"TEMP1285"
"6192",83127,"event",NA,347,0,"TEMP1286"
"6192",83127,"bounds",NA,262,0,"TEMP1285"
"6192",83128,"event",NA,347,0,"TEMP1286"
"6192",83128,"bounds",NA,262,0,"TEMP1285"
"6192",83129,"event",5972,6302,5642,"TEMP1286"
"6192",83129,"bounds",NA,6847,5047,"TEMP1285"
"6192",83130,"event",NA,11700,6302,"TEMP1286"
"6192",83130,"bounds",NA,11700,6847,"TEMP1285"
"6197",83142,"event",NA,5297,0,"TEMP1294"
"6197",83142,"bounds",NA,5087,0,"TEMP1293"
"6197",83143,"event",NA,5297,0,"TEMP1294"
"6197",83143,"bounds",NA,5087,0,"TEMP1293"
"6197",83144,"event",NA,5297,0,"TEMP1294"
