"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
526057,"event",6200,6400,5900
526056,"event",17100,17500,16500
526055,"event",700,900,600
526059,"event",28800,33700,25300
526063,"event",15100,15600,14600
526061,"event",29400,34000,26400
526064,"event",25100,25600,24500
526058,"event",33100,34400,31900
526062,"event",25000,25700,24300
526057,"bounds",NA,7100,5200
526056,"bounds",NA,18400,15500
526055,"bounds",NA,1300,200
526059,"bounds",NA,42300,16300
526063,"bounds",NA,16800,13500
526061,"bounds",NA,41800,18100
526064,"bounds",NA,26600,23600
526058,"bounds",NA,37000,29300
526062,"bounds",NA,27100,22800
