"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
173222,"event",5144,5294,4984
173215,"event",614,684,554
173216,"event",3254,3384,3114
173217,"event",3844,4094,3604
173218,"event",4504,4894,4114
173219,"event",4644,5034,4254
173220,"event",4344,4754,3944
173221,"event",6124,6324,5934
173222,"bounds",NA,5604,4674
173215,"bounds",NA,814,454
173216,"bounds",NA,3664,2834
173217,"bounds",NA,4614,3094
173218,"bounds",NA,5694,3324
173219,"bounds",NA,5834,3454
173220,"bounds",NA,5614,3084
173221,"bounds",NA,6734,5524
