"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
255962,"event",1174,1364,994
255963,"event",3154,3354,2944
255965,"event",1544,1754,1354
255966,"event",464,804,184
255967,"event",1134,1294,974
255969,"event",3034,3184,2864
255970,"event",1444,1634,1284
255964,"event",684,824,564
255968,"event",2674,3554,1904
255962,"bounds",NA,1784,584
255963,"bounds",NA,3784,2524
255965,"bounds",NA,2204,904
255966,"bounds",NA,1394,-386
255967,"bounds",NA,1634,634
255969,"bounds",NA,3394,2604
255970,"bounds",NA,2044,874
255964,"bounds",NA,1094,284
255968,"bounds",NA,5294,184
