"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
525682,"event",18994,19514,18474
525683,"event",15274,15544,14994
525684,"event",14904,15404,14404
525685,"event",13324,14034,12694
525686,"event",11304,12064,10834
525687,"event",12384,12834,11884
525688,"event",10474,10834,10154
525689,"event",8834,9194,8514
525690,"event",8504,8894,8154
525682,"bounds",NA,20614,17394
525683,"bounds",NA,16154,14374
525684,"bounds",NA,16394,13424
525685,"bounds",NA,15634,11104
525686,"bounds",NA,13334,9814
525687,"bounds",NA,13814,10914
525688,"bounds",NA,11614,9384
525689,"bounds",NA,9864,7834
525690,"bounds",NA,9644,7394
