"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
82024,"event",9300,14100,4500
82025,"event",1100,1400,900
82026,"event",13800,14000,13700
82027,"event",17200,17400,17000
82028,"event",18600,18700,18400
82029,"event",21100,21300,20900
82030,"event",23100,23900,22400
82031,"event",26900,27300,26500
82032,"event",37700,39200,36000
82024,"bounds",NA,22200,-3700
82025,"bounds",NA,2000,300
82026,"bounds",NA,14400,13400
82027,"bounds",NA,17800,16700
82028,"bounds",NA,19000,18100
82029,"bounds",NA,21500,20600
82030,"bounds",NA,25500,20800
82031,"bounds",NA,27800,26000
82032,"bounds",NA,41500,32900
