"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
82222,"event",5734,5904,5564
82226,"event",5364,5624,5074
82227,"event",5064,5254,4874
82229,"event",3834,4044,3634
82232,"event",8434,8614,8294
82235,"event",3614,3724,3514
82237,"event",7914,8044,7774
82238,"event",7544,7814,7274
82241,"event",7174,7544,6804
82222,"bounds",NA,6274,5194
82226,"bounds",NA,6174,4534
82227,"bounds",NA,5644,4474
82229,"bounds",NA,4494,3184
82232,"bounds",NA,8904,8054
82235,"bounds",NA,3874,3374
82237,"bounds",NA,8344,7484
82238,"bounds",NA,8394,6694
82241,"bounds",NA,8294,6054
