"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
81874,"event",6084,6384,5774
91821,"event",2274,2674,1884
81880,"event",594,624,564
81882,"event",914,1054,774
91822,"event",3564,3614,3524
81884,"event",4524,4614,4444
81885,"event",4674,4834,4524
81887,"event",5884,5964,5804
91823,"event",5914,6054,5794
91824,"event",3334,3414,3254
81899,"event",3344,3524,3174
81874,"bounds",NA,7054,5114
91821,"bounds",NA,3294,1264
81880,"bounds",NA,664,524
81882,"bounds",NA,1354,484
91822,"bounds",NA,3664,3474
81884,"bounds",NA,4794,4284
81885,"bounds",NA,5144,4204
81887,"bounds",NA,6114,5684
91823,"bounds",NA,6254,5614
91824,"bounds",NA,3504,3154
81899,"bounds",NA,3904,2784
