"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
220980,"event",6394,6554,6234
220981,"event",3414,3524,3284
220982,"event",3894,4074,3724
220984,"event",2564,2694,2434
220985,"event",3374,3494,3254
220987,"event",2624,2754,2494
220988,"event",3324,3444,3194
220992,"event",7794,7914,7674
221078,"event",534,594,484
221079,"event",2864,2954,2794
221080,"event",12404,12624,12134
221081,"event",10244,10424,10054
220980,"bounds",NA,6924,5864
220981,"bounds",NA,3784,3034
220982,"bounds",NA,4444,3344
220984,"bounds",NA,2934,2194
220985,"bounds",NA,3774,2974
220987,"bounds",NA,3024,2224
220988,"bounds",NA,3734,2904
220992,"bounds",NA,8154,7434
221078,"bounds",NA,714,364
221079,"bounds",NA,3114,2644
221080,"bounds",NA,13054,11694
221081,"bounds",NA,10814,9654
