"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
256236,"event",594,854,354
256237,"event",724,984,484
256238,"event",904,1184,654
256239,"event",1234,1364,1104
256240,"event",1284,1424,1154
256242,"event",1674,1834,1504
256243,"event",2224,2314,2144
256249,"event",3924,4244,3624
256250,"event",3834,4084,3604
256241,"event",1754,1874,1634
256244,"event",2814,3004,2614
256245,"event",2424,2644,2204
256246,"event",2634,2754,2514
256248,"event",3534,3874,3224
256236,"bounds",NA,1354,-146
256237,"bounds",NA,1514,-46
256238,"bounds",NA,1704,124
256239,"bounds",NA,1534,934
256240,"bounds",NA,1594,974
256242,"bounds",NA,2074,1274
256243,"bounds",NA,2424,2014
256249,"bounds",NA,4894,2974
256250,"bounds",NA,4574,3104
256241,"bounds",NA,2124,1384
256244,"bounds",NA,3374,2244
256245,"bounds",NA,3054,1794
256246,"bounds",NA,2934,2354
256248,"bounds",NA,4574,2514
