"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
80075,"event",12004,12204,11804
80076,"event",11444,11804,11094
80078,"event",7994,8414,7574
80079,"event",9824,10534,9114
80081,"event",11304,11454,11204
80080,"event",9854,10344,9394
80082,"event",5834,5984,5674
80083,"event",6054,6294,5794
80084,"event",3214,4264,2164
80085,"event",3604,4834,2374
80086,"event",474,534,424
80088,"event",174,284,64
80089,"event",344,414,284
80090,"event",594,654,534
80092,"event",13014,13074,12944
513696,"event",14984,15574,14394
513701,"event",11264,12254,10354
513697,"event",11464,12214,10734
513698,"event",10944,11084,10794
513700,"event",6584,6734,6434
513699,"event",5994,6114,5894
513704,"event",11544,11774,11334
513702,"event",3394,3554,3224
513703,"event",11004,11244,10764
80075,"bounds",NA,12624,11434
80076,"bounds",NA,12574,10324
80078,"bounds",NA,9084,6924
80079,"bounds",NA,11734,7934
80081,"bounds",NA,11674,10984
80080,"bounds",NA,11374,8374
80082,"bounds",NA,6284,5374
80083,"bounds",NA,6804,5294
80084,"bounds",NA,5964,474
80085,"bounds",NA,6784,424
80086,"bounds",NA,624,314
80088,"bounds",NA,474,-116
80089,"bounds",NA,524,154
80090,"bounds",NA,784,404
80092,"bounds",NA,13144,12864
513696,"bounds",NA,16694,13284
513701,"bounds",NA,14134,8464
513697,"bounds",NA,13604,9334
513698,"bounds",NA,11334,10544
513700,"bounds",NA,7064,6104
513699,"bounds",NA,6344,5664
513704,"bounds",NA,12194,10904
513702,"bounds",NA,3914,2864
513703,"bounds",NA,11774,10244
