"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
91794,"event",25800,27300,24500
80331,"event",23400,24600,22400
80334,"event",9600,10200,9000
80336,"event",13500,15000,12100
80337,"event",15700,16700,14800
80338,"event",17500,18300,16600
80339,"event",20000,21900,18300
80340,"event",5500,6400,4700
80341,"event",3300,3400,3300
80342,"event",2800,3000,2600
80343,"event",700,900,500
80344,"event",1900,2000,1800
80346,"event",1100,1300,900
80347,"event",700,900,400
80349,"event",200,400,0
91794,"bounds",NA,30300,21500
80331,"bounds",NA,26200,20900
80334,"bounds",NA,11400,7900
80336,"bounds",NA,18100,9100
80337,"bounds",NA,17900,13600
80338,"bounds",NA,19600,15200
80339,"bounds",NA,25800,14400
80340,"bounds",NA,7900,3200
80341,"bounds",NA,3400,3200
80342,"bounds",NA,3300,2300
80343,"bounds",NA,1400,0
80344,"bounds",NA,2300,1500
80346,"bounds",NA,1700,500
80347,"bounds",NA,1500,-200
80349,"bounds",NA,800,-400
