"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
173159,"event",3314,3434,3194
173160,"event",1594,1684,1494
173161,"event",19864,20074,19644
173162,"event",7214,7354,7064
173163,"event",8324,8424,8214
173164,"event",8754,8924,8614
173165,"event",18854,19194,18514
173166,"event",19894,20094,19684
173167,"event",11564,11784,11364
173168,"event",14014,14294,13794
173159,"bounds",NA,3684,2934
173160,"bounds",NA,1874,1304
173161,"bounds",NA,20494,19224
173162,"bounds",NA,7624,6794
173163,"bounds",NA,8654,7984
173164,"bounds",NA,9224,8314
173165,"bounds",NA,19904,17814
173166,"bounds",NA,20494,19284
173167,"bounds",NA,12184,10964
173168,"bounds",NA,14874,13234
