"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
211720,"event",314,604,84
211721,"event",404,514,284
211724,"event",534,634,414
211725,"event",764,834,704
211726,"event",814,924,714
211727,"event",874,1074,704
211729,"event",1074,1204,954
211731,"event",1184,1234,1124
211732,"event",1434,1554,1324
211733,"event",1704,1864,1564
211736,"event",2244,2384,2114
211737,"event",2464,2604,2354
211722,"event",204,334,84
211723,"event",344,464,204
513802,"event",2024,2284,1784
211720,"bounds",NA,1084,-376
211721,"bounds",NA,794,-6
211724,"bounds",NA,854,184
211725,"bounds",NA,914,634
211726,"bounds",NA,1134,504
211727,"bounds",NA,1454,324
211729,"bounds",NA,1454,694
211731,"bounds",NA,1294,1054
211732,"bounds",NA,1804,1074
211733,"bounds",NA,2184,1234
211736,"bounds",NA,2704,1794
211737,"bounds",NA,2844,2114
211722,"bounds",NA,544,-116
211723,"bounds",NA,704,-46
513802,"bounds",NA,2794,1274
