"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
218598,"event",624,694,544
218599,"event",754,844,684
218595,"event",764,874,684
218596,"event",744,864,654
218597,"event",644,744,554
218600,"event",914,1074,764
218601,"event",774,874,704
218602,"event",604,674,524
218603,"event",754,874,664
218598,"bounds",NA,854,394
218599,"bounds",NA,1024,504
218595,"bounds",NA,1074,484
218596,"bounds",NA,1074,444
218597,"bounds",NA,954,344
218600,"bounds",NA,1374,464
218601,"bounds",NA,1034,534
218602,"bounds",NA,834,364
218603,"bounds",NA,1104,434
