"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
526002,"event",8164,8504,7854
525980,"event",5584,5844,5324
526006,"event",11014,12284,9734
526008,"event",13244,13284,13204
526013,"event",13694,13814,13564
526003,"event",12274,12484,12054
526007,"event",13294,13384,13204
526012,"event",15624,15944,15304
526031,"event",18704,18974,18404
525990,"event",894,1244,554
526018,"event",14674,15094,14264
525967,"event",2564,2744,2374
525970,"event",3414,3594,3224
526002,"bounds",NA,9204,7154
525980,"bounds",NA,6414,4744
526006,"bounds",NA,14284,7734
526008,"bounds",NA,13344,13154
526013,"bounds",NA,14104,13284
526003,"bounds",NA,12874,11664
526007,"bounds",NA,13574,13024
526012,"bounds",NA,16604,14644
526031,"bounds",NA,19514,17874
525990,"bounds",NA,1864,-66
526018,"bounds",NA,15914,13454
525967,"bounds",NA,3164,1964
525970,"bounds",NA,4004,2824
