"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
527157,"event",11164,12034,10294
527164,"event",6604,9064,4154
527161,"event",8824,9234,8414
527160,"event",4414,6224,2604
527156,"event",9904,13824,5974
527162,"event",3194,3324,3044
527159,"event",314,394,234
527163,"event",404,504,304
527157,"bounds",NA,13514,8814
527164,"bounds",NA,13174,44
527161,"bounds",NA,9914,7754
527160,"bounds",NA,9164,-316
527156,"bounds",NA,20174,-376
527162,"bounds",NA,3594,2754
527159,"bounds",NA,484,124
527163,"bounds",NA,724,84
