"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
247596,"event",3934,4194,3694
247597,"event",4434,4724,4134
247598,"event",2954,3484,2434
247600,"event",4474,4644,4334
247595,"event",644,704,584
247599,"event",4434,4674,4214
247601,"event",5484,5654,5314
247596,"bounds",NA,4704,3184
247597,"bounds",NA,5224,3624
247598,"bounds",NA,4304,1594
247600,"bounds",NA,4974,4044
247595,"bounds",NA,814,504
247599,"bounds",NA,5144,3734
247601,"bounds",NA,6034,4924
