"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
528910,"event",6834,7024,6654
528915,"event",704,814,614
528806,"event",994,1314,704
528912,"event",824,984,664
528876,"event",2834,2984,2704
528911,"event",1084,1224,964
528883,"event",1274,1994,704
528882,"event",1434,2094,884
528913,"event",1544,2134,1034
528914,"event",714,844,594
528877,"event",1094,1414,784
528910,"bounds",NA,7404,6274
528915,"bounds",NA,1024,414
528806,"bounds",NA,1964,54
528912,"bounds",NA,1324,324
528876,"bounds",NA,3324,2354
528911,"bounds",NA,1484,694
528883,"bounds",NA,3284,-576
528882,"bounds",NA,3294,-326
528913,"bounds",NA,3234,-66
528914,"bounds",NA,1104,334
528877,"bounds",NA,2064,134
