"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
247593,"event",33700,42000,25300
247588,"event",26000,29400,23400
247592,"event",36000,41800,31600
247587,"event",21900,23000,20800
247589,"event",21100,23900,18300
247590,"event",30300,37700,25300
247591,"event",37100,45900,29200
247593,"bounds",NA,55700,11900
247588,"bounds",NA,35600,17000
247592,"bounds",NA,53100,21000
247587,"bounds",NA,25300,18600
247589,"bounds",NA,28300,14000
247590,"bounds",NA,51500,12300
247591,"bounds",NA,58800,16400
