"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
220316,"event",1834,2234,1444
220317,"event",794,934,654
220318,"event",1354,1474,1234
220319,"event",1374,1614,1154
220320,"event",1424,1544,1314
220321,"event",1614,1904,1364
220315,"event",804,934,684
220316,"bounds",NA,2864,814
220317,"bounds",NA,1244,354
220318,"bounds",NA,1704,984
220319,"bounds",NA,2014,754
220320,"bounds",NA,1804,1054
220321,"bounds",NA,2494,774
220315,"bounds",NA,1214,414
