"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
246384,"event",1654,1754,1554
246387,"event",734,884,594
246388,"event",804,894,714
246389,"event",694,794,594
246390,"event",844,954,744
246391,"event",844,1064,634
246386,"event",484,674,284
246385,"event",444,584,304
513804,"event",814,1004,634
513803,"event",854,1054,664
246384,"bounds",NA,1894,1424
246387,"bounds",NA,1164,314
246388,"bounds",NA,1014,594
246389,"bounds",NA,954,454
246390,"bounds",NA,1124,604
246391,"bounds",NA,1514,184
246386,"bounds",NA,1084,-116
246385,"bounds",NA,844,4
513804,"bounds",NA,1394,244
513803,"bounds",NA,1464,254
