"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
82100,"event",35100,40500,31300
82101,"event",25500,26500,24600
91836,"event",12200,12600,11900
91837,"event",12000,12500,11500
91838,"event",10300,10900,9800
91839,"event",5900,6300,5400
91840,"event",1500,1700,1300
82103,"event",500,1000,0
82102,"event",13200,13400,13000
82100,"bounds",NA,50900,21400
82101,"bounds",NA,28600,22500
91836,"bounds",NA,13300,11200
91837,"bounds",NA,13500,10500
91838,"bounds",NA,11700,9000
91839,"bounds",NA,7100,4600
91840,"bounds",NA,2300,600
82103,"bounds",NA,2000,-900
82102,"bounds",NA,13600,12800
