"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
81974,"event",9034,9274,8794
81975,"event",2674,2864,2464
81977,"event",2014,2454,1584
81979,"event",864,1094,644
81981,"event",494,614,344
81983,"event",9894,10264,9534
81984,"event",8784,9424,8204
81985,"event",7464,7944,6974
81986,"event",7074,7274,6864
81987,"event",7074,7274,6874
81988,"event",4344,5034,3644
81974,"bounds",NA,9724,8334
81975,"bounds",NA,3264,2074
81977,"bounds",NA,3224,814
81979,"bounds",NA,1504,234
81981,"bounds",NA,914,34
81983,"bounds",NA,11024,8774
81984,"bounds",NA,10694,6944
81985,"bounds",NA,8814,6084
81986,"bounds",NA,7684,6444
81987,"bounds",NA,7694,6444
81988,"bounds",NA,6274,2404
