"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
527085,"event",28400,29000,27900
527089,"event",11400,11900,11000
527088,"event",12400,12800,11900
527093,"event",37000,42800,32300
527092,"event",10100,10300,10000
527091,"event",18400,19300,17500
527087,"event",13800,14500,13300
527094,"event",24200,25500,23000
527086,"event",47000,50100,44500
527085,"bounds",NA,29600,27300
527089,"bounds",NA,13000,9900
527088,"bounds",NA,13900,10800
527093,"bounds",NA,53700,22200
527092,"bounds",NA,10500,9700
527091,"bounds",NA,21400,15500
527087,"bounds",NA,15700,12100
527094,"bounds",NA,28200,20300
527086,"bounds",NA,55400,39400
