"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
81807,"event",3494,3634,3364
81808,"event",4364,5624,3114
81809,"event",2184,2344,2014
81810,"event",1334,1474,1184
81811,"event",854,984,734
81812,"event",1454,1624,1294
81813,"event",6954,7194,6714
81814,"event",6574,6824,6354
81816,"event",4794,4924,4654
81817,"event",5134,5324,4964
81819,"event",4514,4644,4384
81807,"bounds",NA,3884,3104
81808,"bounds",NA,7584,1154
81809,"bounds",NA,2694,1664
81810,"bounds",NA,1804,864
81811,"bounds",NA,1254,464
81812,"bounds",NA,2004,904
81813,"bounds",NA,7664,6234
81814,"bounds",NA,7334,5844
81816,"bounds",NA,5184,4374
81817,"bounds",NA,5654,4624
81819,"bounds",NA,4814,4204
