"analysisunitid","chronology.agemodel","sampleages.age","sampleages.ageolder","sampleages.ageyounger"
84573,"event",1284,1364,1194
84574,"event",12034,12484,11584
84576,"event",2284,2444,2104
84577,"event",3694,3744,3644
84578,"event",5914,6034,5804
84579,"event",7244,8264,6294
84580,"event",8344,8594,8094
84581,"event",8874,9004,8744
84573,"bounds",NA,1524,994
84574,"bounds",NA,13044,11014
84576,"bounds",NA,2754,1794
84577,"bounds",NA,3824,3564
84578,"bounds",NA,6164,5684
84579,"bounds",NA,10404,4184
84580,"bounds",NA,9044,7664
84581,"bounds",NA,9154,8604
