"TEMP_chronid","ndb.chronologies.chronologyid","ndb.chronologies.collectionunitid","ndb.chronologies.agemodel","ndb.chronologies.ageboundolder","ndb.chronologies.ageboundyounger","ndb.chronologies.dateprepared","ndb.chronologies.notes","ndb.chronologies.agetypeid","ndb.chronologies.contactid","ndb.chronologies.isdefault","ndb.chronologies.chronologyname"
"TEMP60",47018,4449,"event",16244,14404,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP61",47019,4450,"bounds",36894,950,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP62",47020,4450,"event",29354,950,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP63",47021,4454,"bounds",14064,11227,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP64",47022,4454,"event",13224,11802,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP65",47023,4455,"bounds",31384,25544,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP66",47024,4455,"event",29494,27424,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP67",47025,4456,"bounds",42600,2200,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP68",47026,4456,"event",30000,14500,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP69",47027,4457,"bounds",23024,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP70",47028,4457,"event",19864,1174,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP71",47029,4458,"bounds",32564,12384,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP72",47030,4458,"event",26464,18484,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP73",47031,4460,"bounds",23794,16564,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP74",47032,4460,"event",21324,18884,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP75",47033,4461,"bounds",24084,16334,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP76",47034,4461,"event",21454,18844,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP77",47035,4463,"bounds",2714,314,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP78",47036,4463,"event",2697,594,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP79",47037,4465,"bounds",854,364,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP80",47038,4465,"event",684,524,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP81",47039,4468,"bounds",834,424,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP82",47040,4468,"event",694,564,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP83",47041,4470,"bounds",11084,1,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP84",47042,4470,"event",10834,1,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP85",47043,4471,"bounds",12464,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP86",47044,4471,"event",11044,834,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP87",47045,4472,"bounds",15484,324,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP88",47046,4472,"event",14214,1014,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP89",47047,4476,"bounds",1834,474,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP90",47048,4476,"event",1364,934,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP91",47049,4481,"bounds",38300,17900,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP92",47050,4481,"event",32000,24000,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP93",47051,4483,"bounds",25000,18800,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP94",47052,4483,"event",23300,20700,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP95",47053,4484,"bounds",65000,-75,45683,"younger age limits truncated at publication date (2025 CE)",3,6539,FALSE,"Syverson-Blois"
"TEMP96",47054,4484,"event",65000,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP97",47055,4488,"bounds",8974,8244,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP98",47056,4488,"event",8724,8494,45678,NA,3,6539,FALSE,"Syverson-Blois"
"TEMP99",47057,4490,"bounds",35000,0,45683,NA,3,6539,FALSE,"Syverson-Blois"
