"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"10296","Beta-14068",804,904,714
"10290","Beta-3334",814,884,754
"10299","Beta-14071",744,804,694
"10298","Beta-14070",724,784,684
"10293","Beta-3337",674,714,654
"10291","Beta-3335",664,684,574
"10297","Beta-14069",634,674,564
"10294","Beta-8320",624,674,564
"10300","Beta-14072",614,664,564
"10295","Beta-14067",604,654,554
"10289","Beta-3333",604,634,544
"10288","Beta-3332",554,624,524
"10292","Beta-3336",544,624,524
"10287","Beta-2851",544,644,494
