"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9763,"TX-3387",704,774,664
9762,"TX-3390",614,664,554
9761,"TX-3389",584,644,524
9769,"Beta-4300",3434,3554,3334
9766,"Beta-4297",3254,3364,3094
9767,"Beta-4298",2874,3074,2754
9765,"TX-3391",2844,3294,2414
9768,"Beta-4299",2814,2994,2574
9771,"Beta-4302",2764,2924,2504
9772,"Beta-4303",2554,2734,2364
9773,"Beta-4304",2454,2684,2314
9770,"Beta-4301",2424,2694,2184
9764,"TX-3385",2314,2614,2154
9776,"TX-3063",3054,3944,2784
9775,"TX-2906",3004,3394,2774
9777,"TX-3386",2924,3144,2774
9774,"TX-2905",2934,3264,2594
