"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
53749,"GX-4142",754,904,674
25482,"GX-142",754,904,674
53750,"GX-4143",754,894,684
25481,"Gak-4143",754,894,684
53748,"GX-4146",704,844,594
25477,"Gak-4161",704,844,594
25471,"Gak-4712",654,724,564
25484,"GX-4148",2954,3204,2804
25474,"GX-4149",2934,3144,2794
25473,"GaK-4713",2904,3064,2774
25472,"GX-4144",2894,3074,2754
25476,"GX-4145",3284,3484,3064
25475,"GX-4147",3284,3444,3084
25478,"GX-4150",3234,3424,2944
25480,"NSRL-3127",1424,1534,1334
25479,"Gak-5447",1214,1304,1064
25483,"GX-3603",1214,1394,974
