"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9471,"TEMP184",4294,4614,4004
9469,"TEMP182",3614,3834,3434
9468,"TEMP181",3384,3954,2874
9467,"TEMP180",2694,2944,2404
9466,"TEMP179",2554,3124,2014
9473,"TEMP186",2264,2734,1794
9472,"TEMP185",2084,2764,1474
9465,"TEMP178",1814,1944,1714
9464,"TEMP177",1734,1864,1614
9463,"TEMP176",1594,2054,1244
9462,"TEMP175",1534,1684,1414
9461,"TEMP174",1474,1564,1394
9460,"TEMP173",1404,1554,1304
9459,"TEMP172",1374,1524,1244
9458,"TEMP171",1134,1264,1004
9457,"TEMP170",544,654,354
9456,"TEMP169",214,414,24
9480,"C-278",6584,7114,6064
9479,"I-3962",5414,5584,5094
9478,"I-4673",5254,5534,4954
9477,"I-4633",5174,5444,4914
9476,"C-277",5144,5604,4664
9475,"I-4634",5094,5404,4854
9474,"I-4632",4904,5244,4624
