"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9662,"Beta-19763",604,714,524
9661,"Beta-19762",474,604,334
9666,"DIC-2691",1024,1224,854
9665,"Beta-20688",734,894,664
9663,"Beta-20691",694,844,574
9664,"Beta-20687",314,484,44
9672,"Beta-20689",674,744,574
9671,"Beta-19432",514,644,324
9670,"Beta-19433",434,524,324
9669,"Beta-19437",204,414,24
9668,"Beta-19434",184,294,24
9667,"Beta-19435",144,264,-6
9673,"Beta-20762",634,784,554
9676,"Beta-20686",614,714,554
9675,"Beta-19445",604,654,534
9674,"Beta-19431",544,644,434
