"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
11244,"AA-21706",11434,11794,11244
11243,"AA-21705",11204,11304,10904
11242,"CAMS-24127",10374,10504,10254
11241,"CAMS-24126",10354,10494,10254
11253,"Beta-117607",12804,12904,12764
11252,"Beta-117601",12794,12894,12754
11251,"CAMS-26783a",12774,12844,12734
11250,"Beta-117602",12774,12854,12734
11249,"AA-21710",12694,12754,12624
11248,"Beta-117606",12674,12724,12584
11247,"Beta-117603",12674,12724,12574
11246,"Beta-117605",12664,12714,12544
11245,"Beta-117604",12654,12714,12544
11258,"AA-21711",15714,15934,15474
11257,"PITT-0892",13604,14024,13244
11256,"CAMS-33970b",13044,13144,12914
11255,"CAMS-10349b",12984,13084,12854
11254,"AA-21712",12484,12654,12134
11267,"Beta-127908bd",15274,15544,15034
11266,"Beta-127908ad",14694,15524,13804
11265,"Beta-127907d",14714,15224,14194
11264,"CAMS-12845c",13474,13644,13334
11263,"CAMS-33968c",13434,13524,13344
11262,"CAMS-12839c",13434,13574,13324
11261,"CAMS-12837c",13364,13464,13244
11260,"Beta-127910",12884,13054,12774
11259,"Beta-127909",12804,12984,12734
11268,"Beta-127911e",13404,13484,13324
