"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
8822,"W-2218",11614,12434,10914
8819,"Y-2481",11464,11774,11254
8821,"W-2212",11294,12114,10594
8818,"W-2209",11264,12084,10564
8820,"W-2213",9114,9904,8484
8829,"WSU-363",12504,13044,11804
8831,"WSU-211",12444,13004,11734
8830,"WSU-366",12174,12754,11424
8833,"W-2218",11784,12554,11014
8832,"W-2212",11344,12304,10604
8827,"W-2210",10884,11724,10254
8826,"Y-2482",10394,10634,10224
8823,"W-2207",10154,10964,9594
8824,"W-2208",9854,10474,9344
8825,"WSU-3038",9534,9834,9364
8837,"WSU-210",8564,9114,8134
8836,"WSU-3037",8574,8924,8394
8834,"WSU-209",8224,8744,7794
8835,"WSU-3036",7904,8124,7724
8838,"I-638",7694,8314,6814
8839,"WSU-207",4824,5484,4134
8841,"WSU-3035",1864,2014,1734
8845,"WSU-3033",1454,1654,1324
8843,"WSU-212",1204,1414,974
8842,"WSU-206",1024,1144,944
8844,"WSU-3034",634,724,554
