"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"10162","Beta-1277",4734,4954,4554
"10153","UM-1928",4634,4814,4444
"10159","Beta-1274",4604,4824,4354
"10154","UM-1929",4594,4804,4424
"10161","Beta-1276",4584,4804,4414
"10155","UM-1930",4444,4724,4204
"10152","UM-1927",4324,4514,4114
"10151","UM-1926",4324,4504,4134
"10156","UM-1931",4314,4504,4114
"10160","Beta-1275",4304,4544,4054
"10163","Beta-1278",4184,4394,3974
"10158","Beta-1273",3934,4124,3744
"10157","Beta-37724",2434,2694,2204
