"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
51806,"CAMS-20351",554,644,504
51805,"CAMS-20350",404,474,304
51802,"Beta-23031",854,954,754
51808,"Beta-24418",134,324,-6
51796,"CAMS-20355",1004,1134,914
51795,"CAMS-20346",764,904,694
51794,"CAMS-20354",554,634,514
51798,"Beta-63871",1524,1694,1384
51797,"Beta-63870",1304,1394,1184
51801,"CAMS-20356",2964,3144,2814
51800,"CAMS-20347",2384,2664,2194
51799,"CAMS-20357",1984,2114,1874
51804,"Beta-30016",1574,1694,1434
51807,"CAMS-20345",1034,1174,944
51809,"CAMS-20353",564,644,524
51803,"CAMS-20352",384,464,174
