"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
11416,"AA-40213",8744,8974,8584
11417,"AA-38930",7844,7954,7714
7076,"M-615",7624,8114,7184
7077,"M-617",7464,7914,6974
7078,"M-618a",7354,7864,6764
11270,"AA-37303",3464,3554,3394
11269,"AA-40195",1444,1524,1364
11273,"AA-37305",1384,1494,1324
11272,"AA-40196",1304,1354,1204
11271,"AA-40202",1264,1294,1184
11277,"AA-37307",1564,1684,1434
11276,"AA-40190",1374,1504,1314
11275,"AA-37306",1334,1404,1284
11274,"AA-40193",914,954,814
11279,"AA-37311",3384,3474,3254
11278,"AA-37310",1234,1294,1104
11283,"AA-37309",4704,4824,4564
11282,"AA-37308",3504,3594,3414
11281,"AA-40203",1424,1514,1364
11280,"AA-40199",1404,1514,1344
11286,"AA-40191",1454,1534,1374
11285,"AA-37312",1444,1524,1374
11284,"AA-37314",904,964,804
11292,"AA-40200",9654,9884,9554
11291,"AA-40192",6614,6724,6504
11290,"AA-40204",3854,4044,3704
11289,"AA-37315",3634,3804,3514
11288,"AA-37316",1374,1494,1314
11287,"AA-38929",184,294,4
11297,"AA-37327",7894,8004,7764
11296,"AA-37326",3474,3594,3384
11295,"AA-37325",1564,1684,1444
11294,"AA-40198",1454,1524,1374
11293,"AA-40189",884,954,804
11298,"AA-37328",1814,1934,1724
11305,"AA-38930",7834,7954,7704
11304,"AA-37318",5674,5864,5514
11303,"AA-40194",2004,2124,1894
11302,"AA-37319",1604,1694,1524
11301,"AA-37320",1544,1684,1424
11300,"AA-37317",1484,1584,1414
11299,"AA-37323",764,894,694
11307,"AA-37321",6844,7134,6614
11306,"AA-37324",1664,1774,1564
11308,"AA-37322",1354,1404,1314
11309,"M-1496",9104,9874,8474
11310,"M-1495",9064,9714,8474
11311,"M-1497",10324,11084,9654
11312,"Beta-103268",4474,4544,4354
11313,"Beta-103270",8244,8334,8064
11314,"Beta-108745",7834,7924,7734
11315,"Beta-103269",4914,5024,4854
11316,"Beta-108744",1134,1254,1024
11317,"Beta-103271",5404,5554,5324
11318,"Beta-108743",4894,4984,4844
11319,"Beta-103272",954,1094,804
