"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
11066,"ISGS-1994",9154,9384,9024
11067,"ISGS-1381",9034,9294,8734
11061,"ISGS-1382",8934,9114,8684
11068,"ISGS-1376",9164,9414,8834
11070,"ISGS-1336",7074,7364,6774
11072,"ISGS-1375",9444,9524,9294
11071,"ISGS-1333",9384,9514,9154
11073,"ISGS-1374",9524,9854,9294
11076,"ISGS-1345",7084,7304,6884
11077,"ISGS-1990",7054,7204,6894
11080,"ISGS-1389",7414,7554,7294
11082,"ISGS-1388",7644,7754,7534
11083,"ISGS-1485",8024,8314,7754
11086,"ISGS-1991",8064,8194,7954
11085,"ISGS-1389",8034,8164,7944
11087,"ISGS-1298",4634,4814,4444
11088,"ISGS-1982",4934,5244,4674
11089,"ISGS-815",8584,9014,8354
11090,"ISGS-1383",8544,8704,8434
11094,"ISGS-1987",5544,5724,5384
11092,"ISGS-1983",5544,5654,5474
11091,"ISGS-1340",5534,5674,5384
11093,"ISGS-1986",5524,5584,5374
11095,"TEMP354",6394,6554,6294
11096,"M-483",5414,6024,4784
