"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"53325","UM-1672",1764,1904,1634
"53311","UM-1374",1734,1874,1574
"53309","UM-1370",1654,1824,1464
"53308","UM-1366",1624,1784,1444
"53310","UM-1373",1614,1724,1454
"53312","UM-1368",1484,1684,1354
"53314","UM-1369",1474,1674,1344
"53315","UM-1371",1394,1744,984
"53329","UM-1674",1354,1594,1094
"53313","UM-1372",1294,1464,1094
"53326","UM-1665",1264,1374,1104
"53307","UM-1367",1184,1284,1024
"53327","UM-1669",1154,1284,994
"53320","UM-1671",1144,1264,1024
"53317","UM-1663",1074,1204,974
"53324","UM-1666",1004,1164,854
"53316","UM-1660",994,1094,924
"53318","UM-1664",944,1044,814
"53323","UM-1662",924,1054,794
"53319","UM-1670",934,1044,804
"53322","UM-1668",804,914,704
"53321","UM-1661",604,644,514
"53328","UM-1667",604,674,484
