"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
49563,"Beta-157233",1334,1374,1304
49559,"Beta-328287",1034,1134,974
49555,"M 1260b",964,1184,774
49554,"M 1260a",864,1054,724
49558,"AA101353",684,734,654
49557,"Beta-157234",604,664,554
49556,"Beta-157235",544,624,514
49574,"AA101351",2984,3114,2884
49566,"M-1260c",2824,3034,2514
49562,"P-13a",2544,3004,1964
49575,"Beta-422596",2354,2414,2314
49573,"AA101352",2344,2414,2204
49568,"AA102989",2244,2344,2164
49576,"Beta-422597",2234,2344,2174
49572,"Beta-328286",2234,2344,2174
49569,"Beta-328284",2234,2334,2164
49565,"P-13d",2204,2474,1984
49571,"AA102987",2154,2304,2034
49564,"P-13c",2174,2694,1764
49570,"Beta-328285",2034,2114,1954
49561,"C-562",2054,2514,1724
49567,"AA102993",1904,1984,1814
49560,"C-506",1824,2094,1474
49591,"C-793b",4444,5114,3984
49590,"C-793a",4274,4904,3834
49584,"P-105",4184,4774,3734
49589,"W-298",3984,4754,3384
49597,"AA102990",4054,4154,3954
49588,"C-792b",3844,4424,3364
49586,"P-103b",3824,4384,3374
49598,"15C/0639",3774,3874,3674
49595,"AA102992",3774,3864,3664
49587,"C-792a",3794,4374,3314
49594,"Beta-422595",3734,3824,3644
49596,"15C/0640",3694,3824,3594
49593,"AA102988",3684,3814,3594
49585,"P-103a",3754,4294,3294
49578,"P-102b",3614,4034,3274
49592,"Beta-319843",3524,3574,3464
49577,"P-102a",3644,4184,3194
49583,"P-108b",3644,4194,3184
49581,"P-104c",3484,3954,3054
49582,"P-108a",3424,3864,2994
49580,"P-104b",3394,3844,2954
49579,"P-104a",3394,3834,2954
