"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
29401,"AECV-1001 C",654,754,564
29390,"RIDDL-550",594,664,564
29393,"AECV-1002 C",464,554,324
29391,"AECV-1012 C",654,784,554
29392,"RIDDL-548",694,894,554
29395,"AECV-1003 C",334,484,34
29394,"AECV-1005 C",324,474,34
29398,"AECV-1006 C",534,634,454
29397,"AECV-1008 C",534,634,434
29402,"AECV-1007 C",504,604,354
29396,"AECV-1009 C",484,544,334
29400,"AECV-1011 C",544,644,354
29399,"AECV-1010 C",444,534,294
