"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9437,"SFU-370",8884,10844,7554
9439,"SFU-357",9294,9884,8724
9438,"SFU-452",8074,8914,7524
9442,"SFU-451",5304,6464,4284
9441,"SFU-385",5094,5864,4254
9446,"SFU-454",12704,12884,12384
9445,"SFU-300",12404,12674,11974
9444,"RIDDL-378",12354,12654,11874
9443,"RIDDL-392",12244,12614,11464
11236,"CAMS-2134",12534,12694,12134
11235,"CAMS-2317",12084,12454,11754
9448,"RIDDL-392",11574,12024,11244
9447,"SFU-355",11294,11794,10824
9451,"SFU-382",4804,5244,4444
9450,"SFU-358",3094,3984,2284
9449,"SFU-379",1494,2394,814
