"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
10743,"QL-962",52350,54350,50350
10742,"66E1",69500,129500,24500
11471,"66D2",51900,61900,40900
11472,"191D1",24100,26100,22100
11473,"191C1",77500,84500,70500
11474,"70B1",53500,63500,43500
10746,"QL-1430",53350,54350,51350
11475,"189E1",101500,121500,81500
11476,"189E3",89600,99600,78600
11477,"189E4",86500,98500,74500
11478,"189D1",76500,84500,68500
11479,"189B1",149500,169500,129500
11480,"192E1",146500,157500,135500
11481,"192D1",57500,84500,32500
11482,"192C1",147500,161500,133500
10748,"SMU-96",48350,53350,44350
11483,"69E1",144500,158500,129500
11484,"69E2",150500,163500,137500
11485,"69D1",19800,22800,16800
11486,"69B1",35700,40700,30700
11487,"186E1",39900,44900,34900
11488,"186E2",41000,46000,35000
11489,"186D1",43500,46500,40500
11490,"186B1",26100,29100,24100
11491,"187E1",74700,81700,67700
11492,"187E2",50900,54900,46900
11493,"187E3",38900,43900,33900
11494,"187D1",19613,20956,18275
11495,"187B1",20302,21653,18960
11496,"188E1",37100,42100,32100
11497,"188D1",20400,22400,17400
11498,"188B1",28400,30400,26400
11499,"92B1",59500,71500,47500
11500,"93B1",20500,25500,16500
