"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"53914","AA-26783",37900,41500,35500
"53917","AA-26844",26200,27000,25500
"53915","AA-26861",24800,25600,24100
"53918","AA-26872",24700,25500,24000
"53916","AA-26870",24000,24700,23400
"53919","AA-26825",23800,24500,23200
"53921","AA-26835",23600,24200,23100
"53920","AA-26837",19500,20100,19100
"29273","I-2197",17500,18000,16900
"29272","I-2196",16300,17400,15300
"53922","AA-26810",14900,15300,14400
