"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"49507","UCIAMS 67877",7854,7924,7784
"49508","UCIAMS 67878",6114,6194,6014
"49512","UCIAMS 85357",5994,6164,5944
"49510","UCIAMS 85360",5814,5904,5764
"49494","UCIAMS 87761",5534,5574,5484
"49501","UGAMS 10611",3904,3974,3854
"49503","UGAMS 10618",3644,3704,3584
"49498","UGAMS 10613",3434,3464,3394
"49502","UGAMS 10610",3424,3454,3384
"49509","UCIAMS 85359",3284,3344,3224
"49511","UCIAMS 67876",3154,3204,3084
"49500","UGAMS 10612",2424,2614,2364
"49504","UGAMS 10609",2354,2434,2344
"49496","UGAMS 10620",2334,2344,2194
"49495","UCIAMS 87762",2314,2344,2184
"49505","UGAMS 10607",2064,2124,2004
"49506","UGAMS 10608",1464,1524,1414
"49493","UCIAMS 67875",1064,1174,1004
"49497","UGAMS 10614",754,784,704
"49492","UCIAMS 85358",714,734,684
"49499","UGAMS 10619",184,274,24
