"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"50318","AA-1162",44300,48300,42400
"50319","AA-1163",44100,48000,42300
"50334","A-4196",37100,40800,34400
"50323","A-1710",23900,26300,21800
"50324","A-4195",19000,19600,18400
"50325","A-1624",16300,17000,15800
"50326","A-2142",15900,17100,14600
"50327","A-2618",15300,15600,15100
"50328","A-1849",15000,15500,14300
"50329","A-1646",13300,14000,12800
"50330","A-1652",12600,13900,11300
"50337","A-2584",12500,12900,11900
"50336","A-2745",10900,11300,10500
"50331","A-1647",10700,11300,10100
"50340","A-1613",10700,11100,10400
"50341","WSU-1936",10500,10900,10200
"50346","A-1614",9100,9500,8700
"50344","A-2617",8900,9300,8500
"50342","A-2825",8500,9000,8100
"50343","A-1706",1500,1700,1300
