"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
7798,"TX-2984",1534,3144,574
7799,"TX-2988",604,674,514
7800,"TX-3140",584,664,444
7803,"TX-3142",2034,2284,1804
7802,"TX-2981",1514,1984,1124
7801,"TX-3319",1284,1474,1104
7805,"TX-3143",3074,3364,2804
7804,"TX-3320",3074,3474,2674
7811,"TX-3141",6844,7294,6484
7808,"TX-3139",6884,7214,6614
7806,"TX-3324",6834,7164,6544
7810,"TX-3144",6724,7064,6374
7809,"TX-3321",6594,6994,5904
7807,"TX-3323",6534,6974,5594
7812,"TX-3289",9514,10094,9054
