"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"11168","Beta-37501",7094,7394,6814
"11167","Beta-37500",6114,6294,5934
"11166","Beta-37495",5894,6094,5744
"11165","Beta-19833",5774,5914,5624
"11164","Beta-37494",4634,4804,4464
"11163","Beta-37498",4544,4794,4424
"11162","Beta-35151",4464,4634,4294
"11161","Beta-19832",4114,4384,3864
"11157","Beta-37497",4004,4184,3854
"11160","Beta-37496",3684,3844,3524
"11159","Beta-17841",3684,4254,3184
"11158","Beta-20773",3604,3824,3424
"11156","Beta-37493",3494,3624,3394
"11151","Beta-19828",3424,3554,3274
"11155","Beta-20772",3334,3444,3204
"11154","Beta-19829",3304,3494,3084
"11153","Beta-19831",3154,3334,2984
"11150","Beta-20774",3094,3314,2884
"11149","Beta-20770",3024,3244,2824
"11148","Beta-37499",2854,2984,2774
"11152","Beta-19830",2794,2924,2634
"11147","Beta-20771",2364,2674,2194
