"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
9779,"TX-3059",3584,4564,2854
9778,"TX-2899",3354,4454,2654
9780,"Beta-4285",2804,3074,2494
9786,"TX-3384",4894,5174,4464
9793,"Beta-4292",4964,5184,4844
9788,"Beta-4287",4954,5174,4844
9796,"Beta-4295",4934,5164,4704
9792,"Beta-4291",4854,5134,4464
9787,"Beta-4284",4774,4964,4584
9785,"TX-3383",4754,4954,4564
9781,"TX-3379",4724,4864,4544
9795,"Beta-4294",4694,4904,4454
9789,"Beta-4288",4684,4914,4444
9782,"TX-3380",4654,4844,4434
9790,"Beta-4289",4624,4854,4354
9797,"Beta-4296",4514,4794,4284
9798,"Beta-4822",4434,4744,4244
9791,"Beta-4290",4374,4514,4224
9794,"Beta-4293",4384,4614,4194
9783,"TX-3381",4354,4534,4124
9784,"TX-3382",4364,4664,4134
