"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
"52263","Beta 445876",13104,13164,13004
"52266","OxA-38094",12604,12684,12494
"52262","OxA-38601",12564,12674,12494
"52275","D-AMS-24192",12554,12664,12344
"52256","OxA-38096",12554,12664,12274
"52274","Beta 516053a",12554,12624,12284
"52255","OxA-38100",10554,10664,10434
"52258","D-AMS-18141",10504,10634,10334
"52264","OxA-38099",10444,10564,10294
"52276","D-AMS-24193b",10384,10504,10274
"52268","OxA-38095b",10354,10494,10264
"52273","D-AMS-18145b",10314,10434,10254
"52259","OxA-38097b",10304,10464,10244
"52252","D-AMS-18143",10264,10384,10234
"52260","OxA-38098",10244,10364,10204
"52253","OxA-38101",10234,10324,10194
"52269","D-AMS-18146",10214,10234,10184
"52250","D-AMS-18135",10204,10244,9974
"7416","TX-107",9834,10164,9554
"7412","TX-141",9824,10164,9554
"7415","YX-108",9744,10134,9484
"7411","TX-197",9754,10164,9424
"7413","TX-140",9534,9864,9314
"52254","Beta 445875",9304,9414,9154
"7414","TX-109",7524,7684,7344
"52261","D-AMS-36783",7384,7464,7334
"52267","D-AMS-13539",7374,7424,7324
"52281","OxA-38046",7334,7414,7274
"7419","TX-138",6994,7224,6764
"7417","TX-139",6984,7314,6654
"52283","D-AMS-13530",6894,6964,6804
"52248","D-AMS-18140",6614,6714,6514
"52272","D-AMS-13532",6564,6644,6494
"7423","TX-117",6354,6614,6064
"52287","D-AMS-18136",5824,5894,5734
"7422","TX-137",5464,5724,5084
"7421","TX-196",5244,5524,4964
"7420","TX-203",5164,5454,4904
"52251","D-AMS-13538",5174,5284,5014
"52277","D-AMS-18142",5174,5274,4994
"52249","D-AMS-18139",5104,5274,4914
"7418","TX-195",4984,5284,4664
"52285","OxA-38047",4834,4854,4704
"52265","D-AMS-27494",4574,4784,4464
"52288","D-AMS-18137",4074,4154,3994
"52279","D-AMS-27495",3784,3874,3724
"52282","OxA-38102",3774,3854,3704
"7424","TX-136",3664,3844,3494
"52270","D-AMS-13537",3044,3144,2974
"52284","D-AMS-18144",2984,3064,2894
"52280","D-AMS-13541",2354,2414,2344
"52286","D-AMS-13536",2314,2344,2184
"52257","D-AMS-13533",2224,2324,2164
"52271","D-AMS-13534",2224,2324,2164
"52278","D-AMS-18138",1984,2054,1944
