"geochronid","geochronology.labnumber","chroncontrols.age","chroncontrols.agelimitolder","chroncontrols.agelimityounger"
54066,"Beta-362611",19724,19924,19574
54067,"Beta-362609",19444,19554,19254
29455,"Beta-1699",18514,18784,18304
29453,"Beta-5691",18474,18734,18204
29454,"Beta-9906",15714,16404,15074
53708,"V-48152",27124,27434,26604
29456,"Beta-9950",27094,27624,26494
54068,"Beta-398990",27074,27204,26604
54071,"Beta-362610",20014,20224,19734
54070,"Beta-362612",19874,20074,19634
29457,"AA-683",19494,19984,19054
54069,"Beta-362613",18924,19044,18854
